# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 10.220531113052814, 34.65150564746039, 3410.4812804281664, 249.86917683457176, 866.405378334792, 100.0, 0.1996094088032862, 100.0, 12.93609821258882, 264.85629660382494, -170.35793336146705, 18.54818733307983, 15.380558169154025, 91.0330444686643, -1.7831986439643588, 5.622050845723443, 58.024668078947144
100, 10.212609428224958, 34.65132137385296, 3410.804372042734, 249.8688892746685, 866.5035336705446, 99.76856433642305, 0.25747181171014527, 99.82878889385367, 12.957967192069852, 264.6505751468469, -170.01888533816066, 18.46596184115791, 15.195836065137227, 91.25300977649303, -1.1371551225635281, 5.408162182497965, 58.009876124025794
200, 10.395305164858126, 36.54598361209458, 3408.478098158635, 246.49402737084947, 870.4289055778389, 97.57875271985678, 0.5212125687628345, 100.7708743427851, 13.776318758587578, 261.2959452827092, -170.87820667146332, 16.502755543230016, 15.262292015480366, 94.95243643868456, -0.4695096012408813, 5.455626338267204, 57.71674677381229
300, 10.69085514923134, 39.98493059140765, 3408.125319817408, 242.17083432549515, 877.8962175621824, 96.65057762549857, 0.5877639721945482, 104.16996878985348, 13.93156421406249, 257.2354180123765, -171.49714376480577, 10.868509167866256, 15.698828503001474, 96.90126647453349, 0.6696448129930913, 5.702546871540975, 57.426549425713844
400, 10.864302392028648, 42.47577065886553, 3421.625134495572, 242.6625084374888, 881.9792775981829, 104.71787005973584, 0.4390414835706598, 103.06144334962576, 14.080300327212981, 250.69537939821493, -166.5150859759805, 8.278024129533874, 15.358597453558529, 93.93552986245811, 1.4633046766938138, 5.808448395849058, 58.128842467798194
500, 10.23665733240485, 43.19039660997333, 3430.5845163872023, 242.82996393995796, 881.1673689004293, 116.67325113873592, 0.47565731767648667, 100.67376111234692, 14.071962386321168, 244.4521491838258, -166.09180949344864, 7.763897104514564, 15.113131149268444, 94.95786215802552, 1.6732389499745732, 5.761083552587836, 58.57708421122184
600, 10.633892535335105, 43.570151549993696, 3427.2302944240214, 245.85647860152835, 884.252878279626, 127.85936900426869, 0.48761335818586493, 98.96906279057423, 13.995313011150733, 237.1472637778253, -171.39157472409033, 7.841057613861276, 14.758985274092574, 96.35217767141347, 1.7333528630992188, 5.795041650497381, 58.81542817939591
700, 10.864315131095378, 43.72438938866525, 3425.9309485778485, 249.57233128770716, 887.5187455750358, 132.67041657953106, 0.4535588719884396, 99.24499649761418, 14.01385512889529, 238.11852484611205, -177.34482850268495, 7.6781247592066695, 14.463973056658292, 97.29309554194, 1.7762113035024432, 5.863558733841221, 59.030911705494866
800, 10.75876372596278, 43.959078980746625, 3446.353102692189, 250.366983221596, 897.4946937569292, 135.97863599332504, 0.3855045611345545, 99.67455854606777, 13.98499888580926, 236.87430719631504, -181.8737148883154, 7.701527825489389, 14.273259471713109, 98.19317704809541, 1.785691885704894, 5.880306063334349, 59.380514778915995
900, 10.144465580788529, 44.11259761332518, 3453.436956443152, 251.36452958802107, 908.7411509207595, 136.4629416692302, 0.31780430475051313, 98.9148982343216, 13.885043865604086, 236.99398447986513, -183.46109837068647, 7.587551827841681, 14.08811066211751, 97.3252465843005, 1.8004876935482605, 5.862899136363413, 59.66368165284682
1000, 10.089980236978942, 44.37762473876325, 3460.3553551103296, 250.9605921893856, 917.5639316620662, 136.508460107693, 0.30412317510217546, 100.00987968198613, 13.881883206528315, 243.53350152455494, -185.4654694952419, 7.5281859407969804, 13.991705887183894, 97.09361025870479, 1.8284950592305382, 5.895993289311068, 59.83379214617881
