# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, oiii5007_outflow_amp, oiii5007_outflow_fwhm, oiii5007_outflow_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 66.37455357687206, 121.7543537907198, -8.004125426267958, 32.705867210627375, 333.8887490972383, -21.492947146853133, 7.010084666179408, 0.07776677276379652, 3.0927788307969606, 991.4307798864489, 73.1249224636328
500, 90.95791905606536, 103.79575592776386, -0.3693480733032279, 1.439143469419453, 1.0191383946353454, 0.2920887387331384, 65.60571460702037, 121.25026321012298, -10.201840629151532, 35.17609314662654, 331.17836675983733, -20.969242474554616, 6.802854164686497, -1.3781912378373584, 3.5954174933436436, 995.4310082063994, 75.80743797545895
600, 84.66066868001217, 108.50807109030666, -0.38955807047180285, 2.018687945425048, 1.2272992881939213, 0.3120081761227491, 64.23398439571233, 118.79518555950759, -10.353846663475169, 36.86751563923707, 328.66057880102244, -21.14435335217657, 6.405789945278006, -0.2596868049812063, 3.753144556470639, 1000.6240318697876, 77.02266267286122
700, 77.21750155783832, 114.50726388184665, -0.3699492978452894, 2.519193088344704, 1.311781714073494, 0.3147751032666748, 62.59360156625115, 115.0829022768849, -10.390230298574966, 38.671685406266775, 325.71924411246295, -21.089442975048215, 5.99231777424778, 0.6146134792318467, 3.8681522684364316, 1007.3414095200222, 77.98792530066119
800, 70.07012801904779, 121.04866872007554, -0.4011106183723042, 3.006978782097261, 1.3026158202431795, 0.3055159502679658, 60.8666458262042, 110.49322344698804, -9.879353513162823, 40.355296024886535, 323.2949451225063, -21.136561064898814, 5.582076108560874, 1.229987480574408, 3.934874797371195, 1014.2721260127138, 78.68181678514463
900, 63.68031924838799, 127.70349814507706, -0.4583926789960605, 3.321687938086545, 1.2179350568676153, 0.289508021216765, 59.3785885085149, 106.22544453011037, -9.165553306002748, 41.83509833559139, 321.3763733345018, -21.09006540790704, 5.2186275214481075, 1.038779075040906, 3.9703936579552326, 1021.2839376659178, 78.10541165844653
1000, 59.13001265262581, 133.41466520489507, -0.5196416648238708, 3.407304296169241, 1.0919865496989807, 0.27073475655796336, 58.6249413142525, 103.34185067377669, -8.907664505128912, 42.610032380742005, 320.89300053615267, -20.804578099059604, 5.010864820744294, -1.4547771785622015, 3.9609963160224813, 1025.9900855486092, 75.43035869541623
1100, 56.59163254716111, 137.25265359652937, -0.5510910572057601, 3.5345961740355047, 1.0175633033506861, 0.25124906547268294, 58.6960672969278, 102.08103629254396, -8.837936789618466, 42.630936202149506, 322.3150895235983, -20.470940651552375, 4.930919464807713, -5.678094808134591, 3.9156709895190804, 1026.8806428570085, 75.93236524250861
1200, 55.31527428797776, 140.13585277607544, -0.5652411441129114, 3.6310902545532584, 0.9868743854635368, 0.2375873434569585, 59.05468420478776, 101.74837091150587, -8.814544205450629, 42.347956333646394, 324.7843087769962, -20.207441163452227, 4.877934592232785, -10.879023757365601, 3.8787218980183558, 1027.8523306226177, 75.00627416506924
1300, 54.502797869874755, 142.1794952354824, -0.6129705788312305, 3.6723918671766542, 0.9960816570097911, 0.22891362028284643, 59.77509317784592, 102.38356004653797, -8.693451562615214, 41.682968407286374, 328.1797091863277, -20.39170495918462, 4.914809743295594, -14.821103628193004, 3.7977633177795527, 1028.642833925436, 75.6279171500562
1400, 54.09748166429439, 143.5213808387613, -0.6179410898911981, 3.767990634523963, 0.9961011673691063, 0.2328570557716322, 60.82961724540049, 103.16004741509502, -8.684495522746928, 40.73637999843675, 332.6013449305736, -20.664123267048552, 4.969135265458947, -16.637592625871726, 3.75715133724886, 1040.3949341828338, 72.03354655444221
1500, 53.63479922176522, 144.4973925917382, -0.6054524204528134, 3.853500233432099, 0.9962082382234618, 0.24049171470373193, 62.068440147553936, 104.09602324674182, -8.701474945749395, 39.68546414027222, 338.0469800749138, -21.021021111950716, 5.1252052737996685, -16.847644650976836, 3.6786995378913545, 1080.4731878611915, 59.911147831252066
1600, 52.65318068045814, 144.89785974978722, -0.5489599206702963, 3.9312709976015614, 0.9933669851443407, 0.2504570003207709, 63.36827375346089, 104.95650136708505, -8.500068776760987, 38.576410370179254, 345.0095843351462, -21.86620902929862, 5.267168866597433, -15.144053236918259, 3.6270288437569658, 1152.067417044159, 37.5438064110352
1700, 51.91902621138084, 145.05572890231372, -0.43897585638652975, 4.061977213349302, 0.9636505689649327, 0.27123675751660337, 64.66643039302869, 106.39574710266182, -8.12382497318991, 37.34013805683791, 352.92211001474016, -23.03970352428559, 5.444550049709645, -11.42680696402731, 3.5537725822605406, 1264.229914050916, 16.030566858330058
1800, 51.588684398202595, 144.7502143791301, -0.28986693744978975, 4.212720347228281, 0.9296394515281842, 0.30727955221244696, 66.19669818435297, 109.01689451866014, -7.846054156941883, 35.72325855088137, 363.44104911041995, -23.983464485744125, 5.675597101948437, -7.523259821290146, 3.491843692956131, 1458.4444707998352, 1.246328280411215
1900, 51.31215388499822, 144.04662782216835, -0.21723569265659645, 4.391123261968067, 0.9451089378171871, 0.35125385767263023, 67.93854392483415, 112.64391609979093, -7.986008076811634, 33.80144164376423, 375.76779224534954, -24.43093835130303, 6.046416554929613, -5.433241223918791, 3.357519198894416, 1795.7119029844466, 0.5300659584714822
2000, 51.04590350273701, 143.05357114462583, -0.12082329411247146, 4.611285481789558, 1.0035850006696883, 0.3904892978800802, 69.67764609642424, 116.18186620794101, -8.40603733748214, 31.890127693826262, 388.3763638819617, -24.202671864363808, 6.465276255627539, -5.956492927574082, 3.2121599034890402, 2227.5592473120437, 16.967547514228684
2100, 51.422156840793946, 142.3486043406247, -0.0031463649844918245, 4.803102518003659, 1.0584522532734293, 0.4114917233465973, 71.24879671289796, 119.99927808560678, -8.955568754437643, 30.114569292699535, 399.75345709972584, -23.839024120309507, 6.897854602122106, -8.073632820523486, 3.048981469830088, 2688.4828940363336, 41.270204751692816
2200, 51.964999688774014, 141.5306648952947, 0.11241234248118068, 4.923057732710472, 1.1021823756943534, 0.4292233738335593, 72.89412671170405, 124.30823223176323, -9.448744486287644, 28.287322925933108, 410.82963970141697, -23.78263542646942, 7.362901616940991, -9.637032362692251, 2.907655318377008, 3184.1222670763, 62.33678500390004
2300, 52.10110827437826, 141.05112430690662, 0.19784312099574655, 4.971150260777263, 1.124481961555647, 0.4411185452719098, 74.10529726843593, 127.44434692099351, -9.985713245017594, 26.993594005040357, 418.3457354867647, -23.503517338750754, 7.767789192727066, -12.01245531852149, 2.7907735423163778, 3640.8618096009213, 76.10122699644995
2400, 52.32141525430731, 140.9808649877217, 0.31281716256127606, 4.957196523896732, 1.1075861774868703, 0.43419056368960635, 74.99730476237343, 130.06982929225873, -10.158908141564739, 26.034016730422675, 423.8653779852165, -23.63877000519182, 8.05354126355386, -13.669161541464636, 2.6991424892693696, 3988.892409213585, 98.38389663573228
