wave,flux
3784.17,17.040554
3785.0403,17.11135
3785.913,17.142197
3786.7842,17.094202
3787.6572,16.883957
3788.5288,16.496367
3789.4023,16.040653
3790.2737,15.656721
3791.146,15.404667
3792.02,15.274835
3792.8923,15.239325
3793.7673,15.236288
3794.6401,15.152572
3795.515,14.894779
3796.3882,14.475978
3797.2615,13.9991255
3798.1372,13.556069
3799.0107,13.163811
3799.887,12.815296
3800.761,12.57557
3801.6372,12.574258
3802.5122,12.882768
3803.3867,13.434073
3804.264,14.079687
3805.1392,14.691404
3806.0164,15.189576
3806.892,15.519964
3807.77,15.657877
3808.6458,15.641171
3809.5222,15.581756
3810.4006,15.613515
3811.277,15.793451
3812.156,16.050983
3813.0327,16.241644
3813.912,16.24407
3814.7896,16.023514
3815.6694,15.640109
3816.5469,15.205658
3817.4248,14.823706
3818.3054,14.562168
3819.1838,14.440432
3820.0645,14.396942
3820.9434,14.305492
3821.8245,14.093969
3822.7036,13.844798
3823.583,13.725669
3824.4646,13.806287
3825.3447,13.977896
3826.2266,14.07342
3827.1067,14.035044
3827.9893,13.933524
3828.87,13.854543
3829.7507,13.81526
3830.634,13.782767
3831.5151,13.720786
3832.3987,13.590549
3833.2803,13.337872
3834.1643,12.93392
3835.0464,12.4364395
3835.9287,11.973499
3836.8132,11.656745
3837.696,11.523383
3838.5806,11.539449
3839.4639,11.636664
3840.349,11.769047
3841.2324,11.950615
3842.1162,12.231071
3843.0024,12.644472
3843.8865,13.180428
3844.7727,13.772126
3845.6575,14.312619
3846.5442,14.716365
3847.4292,14.97049
3848.314,15.123307
3849.2012,15.229045
3850.0872,15.294402
3850.9746,15.281986
3851.8606,15.188275
3852.749,15.097399
3853.6353,15.105229
3854.5217,15.198228
3855.4106,15.264193
3856.2979,15.21949
3857.1868,15.076748
3858.0742,14.8995075
3858.9636,14.734556
3859.8518,14.580356
3860.7393,14.4092245
3861.63,14.2407875
3862.518,14.176949
3863.4087,14.318792
3864.2976,14.648259
3865.1887,15.017856
3866.0776,15.262147
3866.9675,15.316308
3867.8591,15.237072
3868.7488,15.126206
3869.6409,15.040153
3870.531,14.963153
3871.4236,14.8461
3872.3142,14.660998
3873.2053,14.434131
3874.0981,14.245353
3874.9897,14.1928625
3875.883,14.332803
3876.7744,14.620056
3877.6687,14.9053135
3878.5605,15.021966
3879.4531,14.907122
3880.3477,14.654422
3881.2402,14.438697
3882.1353,14.355796
3883.0286,14.342899
3883.924,14.2886095
3884.8171,14.177653
3885.7131,14.053768
3886.607,13.878379
3887.501,13.539688
3888.3975,13.019139
3889.292,12.457917
3890.189,12.034081
3891.084,11.8502865
3891.9812,11.944038
3892.8767,12.3018
3893.7722,12.826432
3894.6697,13.361224
3895.5657,13.786346
3896.4644,14.080892
3897.3606,14.302944
3898.259,14.526887
3899.156,14.773216
3900.0532,14.982713
3900.9526,15.091002
3901.8499,15.12361
3902.7498,15.166838
3903.6475,15.247604
3904.5476,15.299252
3905.4458,15.259362
3906.3442,15.144349
3907.245,15.0175905
3908.144,14.955198
3909.0452,15.036485
3909.944,15.280787
3910.8457,15.597351
3911.7456,15.859627
3912.6455,16.019608
3913.548,16.112728
3914.4482,16.172247
3915.3508,16.188637
3916.2515,16.149836
3917.1545,16.068106
3918.0557,15.956214
3918.9573,15.816065
3919.8606,15.648557
3920.7627,15.445125
3921.6665,15.19037
3922.5688,14.902495
3923.4731,14.650924
3924.376,14.506931
3925.2786,14.481914
3926.184,14.517491
3927.0872,14.519745
3927.9927,14.4077
3928.8965,14.1513605
3929.8025,13.773842
3930.706,13.327451
3931.6104,12.865402
3932.5173,12.416248
3933.4219,11.98217
3934.3289,11.56894
3935.234,11.2182
3936.1416,11.010505
3937.047,11.026474
3937.9526,11.290404
3938.8608,11.7498455
3939.7668,12.309797
3940.6755,12.880507
3941.582,13.394443
3942.491,13.79883
3943.398,14.059368
3944.3052,14.176519
3945.2146,14.194061
3946.1223,14.202345
3947.0322,14.311366
3947.94,14.560145
3948.8503,14.857102
3949.759,15.075231
3950.6675,15.199776
3951.5789,15.317576
3952.4878,15.4713125
3953.3992,15.597091
3954.3086,15.626144
3955.2202,15.591985
3956.1301,15.576919
3957.0427,15.577847
3957.9531,15.514065
3958.8635,15.371061
3959.7764,15.237235
3960.6873,15.164842
3961.6006,15.06435
3962.512,14.785679
3963.4258,14.289797
3964.3374,13.703153
3965.2495,13.18172
3966.1638,12.744476
3967.0764,12.269397
3967.991,11.633773
3968.904,10.837418
3969.8193,10.016359
3970.7322,9.3691435
3971.6458,9.059239
3972.5618,9.14596
3973.4756,9.5724325
3974.392,10.213312
3975.3064,10.949515
3976.223,11.713147
3977.1375,12.472471
3978.0527,13.194206
3978.9697,13.844997
3979.8853,14.421228
3980.803,14.939599
3981.7188,15.38847
3982.637,15.713278
3983.553,15.8689995
3984.4695,15.883241
3985.3884,15.849455
3986.305,15.853991
3987.2246,15.922681
3988.1414,16.036026
3989.0615,16.176546
3989.9788,16.337643
3990.897,16.488522
3991.8171,16.585142
3992.7354,16.63563
3993.656,16.694983
3994.5747,16.779362
3995.496,16.83534
3996.4153,16.800129
3997.3347,16.661777
3998.2566,16.46199
3999.176,16.274446
4000.0981,16.193249
4001.0186,16.29182
4001.9412,16.54556
4002.8616,16.831078
4003.7825,17.034119
4004.706,17.104914
4005.6272,16.996866
4006.5508,16.66674
4007.4724,16.205778
4008.397,15.868762
4009.319,15.859937
4010.2412,16.130217
4011.166,16.457937
4012.0886,16.683617
4013.014,16.804924
4013.9373,16.88956
4014.8625,16.977627
4015.7864,17.072363
4016.71,17.166563
4017.6365,17.241861
4018.5608,17.267239
4019.4873,17.24416
4020.412,17.23364
4021.339,17.277575
4022.2644,17.320087
4023.1897,17.271988
4024.1172,17.115902
4025.0432,16.89672
4025.971,16.66199
4026.8972,16.464405
4027.826,16.37357
4028.7524,16.421051
4029.6816,16.543327
4030.6086,16.603722
4031.536,16.477173
4032.4656,16.149212
4033.393,15.749794
4034.323,15.45369
4035.2515,15.353039
4036.182,15.456826
4037.11,15.757497
4038.0388,16.229465
4038.9702,16.780785
4039.8994,17.255703
4040.8313,17.514475
4041.7607,17.524296
4042.6926,17.37516
4043.6226,17.19229
4044.5527,17.001287
4045.4854,16.686556
4046.4163,16.14582
4047.3494,15.501901
4048.2803,15.087018
4049.2139,15.159832
4050.1453,15.667608
4051.077,16.322992
4052.0115,16.861696
4052.9436,17.16994
4053.8782,17.242363
4054.8108,17.132221
4055.7456,16.92719
4056.6787,16.70672
4057.6118,16.509413
4058.5476,16.335495
4059.4812,16.182854
4060.4172,16.097488
4061.3516,16.14763
4062.2878,16.301147
4063.2227,16.37662
4064.1572,16.189577
4065.0945,15.760221
4066.0295,15.340758
4066.9673,15.190594
4067.9026,15.333918
4068.841,15.599387
4069.7769,15.853896
4070.7134,16.063978
4071.6516,16.158869
4072.5884,16.026386
4073.5276,15.70859
4074.4646,15.459809
4075.4043,15.490846
4076.3418,15.718068
4077.2798,15.864035
4078.2197,15.763779
4079.1582,15.510852
4080.0986,15.350992
4081.0376,15.47579
4081.9785,15.88457
4082.9172,16.394495
4083.857,16.766361
4084.7983,16.857605
4085.738,16.706577
4086.6804,16.486444
4087.6204,16.378027
4088.5632,16.470379
4089.5037,16.72949
4090.4443,17.023048
4091.388,17.198406
4092.3289,17.179766
4093.2725,17.007107
4094.2144,16.786535
4095.1582,16.596762
4096.1,16.416119
4097.045,16.145664
4097.9873,15.734717
4098.93,15.250295
4099.8755,14.782431
4100.819,14.326096
4101.764,13.804272
4102.7075,13.205246
4103.654,12.684125
4104.5977,12.48667
4105.5425,12.734781
4106.4893,13.322359
4107.4336,14.0337515
4108.381,14.696305
4109.326,15.217554
4110.2734,15.566896
4111.2188,15.763233
4112.1646,15.858963
4113.1133,15.919926
4114.059,16.005724
4115.0083,16.146101
4115.955,16.323812
4116.904,16.486715
4117.8506,16.580885
4118.7983,16.564667
4119.748,16.417976
4120.696,16.188004
4121.646,15.999175
4122.594,15.9483185
4123.545,16.013027
4124.493,16.11822
4125.442,16.242764
4126.3936,16.396431
4127.343,16.537365
4128.295,16.587471
4129.2446,16.523859
4130.1963,16.403673
4131.1465,16.288254
4132.097,16.166393
4133.05,15.972436
4134.0005,15.693058
4134.9536,15.4381
4135.9053,15.367779
4136.859,15.553587
4137.8105,15.923784
4138.762,16.32252
4139.717,16.622387
4140.6694,16.788572
4141.624,16.827055
4142.5767,16.70529
4143.532,16.363405
4144.4854,15.815778
4145.439,15.244474
4146.395,14.932292
4147.3486,15.027694
4148.3047,15.404942
4149.2593,15.801577
4150.216,16.042997
4151.171,16.113504
4152.1255,16.091934
4153.083,16.058893
4154.0386,16.03043
4154.9966,15.968429
4155.9526,15.855811
4156.911,15.738211
4157.867,15.683554
4158.8237,15.727122
4159.782,15.867908
4160.7397,16.080471
4161.6987,16.314995
4162.6567,16.524818
4163.616,16.701277
4164.5737,16.847939
4165.532,16.929781
4166.4927,16.894878
4167.451,16.739239
4168.412,16.514465
4169.371,16.299164
4170.3325,16.175016
4171.292,16.159712
4172.254,16.146046
4173.214,15.984886
4174.174,15.658743
4175.1367,15.326515
4176.0967,15.168258
4177.0596,15.215889
4178.0205,15.362088
4178.984,15.499537
4179.9453,15.612393
4180.907,15.738046
4181.871,15.8654785
4182.833,15.915179
4183.798,15.847601
4184.7603,15.743561
4185.725,15.717994
4186.688,15.773685
4187.6514,15.785855
4188.6167,15.648523
4189.5806,15.430403
4190.5464,15.329177
4191.5107,15.441353
4192.4775,15.666076
4193.442,15.8759775
4194.4062,16.057287
4195.3735,16.208576
4196.339,16.230341
4197.3066,16.03013
4198.272,15.657428
4199.24,15.24896
4200.206,14.910851
4201.1724,14.699236
4202.141,14.625197
4203.108,14.646422
4204.077,14.729896
4205.0444,14.908148
4206.0137,15.208325
4206.9814,15.578728
4207.949,15.935578
4208.9194,16.225124
4209.888,16.414852
4210.859,16.479803
4211.827,16.43997
4212.7983,16.383402
4213.768,16.386103
4214.7373,16.405811
4215.709,16.314487
4216.6787,16.053797
4217.6514,15.737842
4218.6216,15.5799055
4219.594,15.693942
4220.5654,15.991813
4221.536,16.293964
4222.51,16.470684
4223.481,16.450459
4224.4546,16.18784
4225.427,15.679255
4226.401,14.974368
4227.3735,14.179216
4228.3457,13.495094
4229.321,13.203754
4230.294,13.485166
4231.2695,14.219611
4232.2427,15.04944
4233.2188,15.643361
4234.1924,15.869426
4235.1665,15.794941
4236.143,15.588881
4237.1177,15.386848
4238.0947,15.241864
4239.07,15.182526
4240.0474,15.225404
4241.0225,15.345233
4241.998,15.512623
4242.9766,15.722005
4243.9526,15.951517
4244.9316,16.166431
4245.9077,16.357452
4246.8867,16.494991
4247.864,16.485512
4248.8438,16.262003
4249.821,15.877883
4250.799,15.456279
4251.779,15.106789
4252.757,14.923113
4253.7373,14.947691
4254.7163,15.076338
4255.6973,15.130993
4256.6763,15.098207
4257.6553,15.155967
4258.637,15.390814
4259.617,15.619161
4260.599,15.586463
4261.5796,15.277087
4262.562,14.957135
4263.543,14.933962
4264.5234,15.291179
4265.507,15.840751
4266.4883,16.314808
4267.472,16.564608
4268.4536,16.574356
4269.438,16.378988
4270.4204,16.021688
4271.403,15.5324955
4272.387,14.936564
4273.3706,14.332847
4274.356,13.906585
4275.3394,13.778348
4276.325,13.914206
4277.309,14.245943
4278.293,14.747668
4279.2793,15.325429
4280.264,15.770202
4281.251,15.910432
4282.2354,15.770309
4283.223,15.542009
4284.2085,15.405951
4285.1943,15.393759
4286.182,15.409825
4287.1685,15.351008
4288.157,15.20093
4289.1436,14.998128
4290.133,14.738945
4291.1196,14.411431
4292.1064,14.1275215
4293.0967,14.082898
4294.084,14.329885
4295.074,14.686456
4296.0625,14.9248705
4297.0527,14.975396
4298.0415,14.884087
4299.0303,14.654784
4300.0215,14.248058
4301.011,13.7125435
4302.003,13.225919
4302.992,12.964853
4303.9844,12.9536295
4304.975,13.077885
4305.965,13.20815
4306.958,13.2526865
4307.9487,13.152816
4308.9424,12.914096
4309.9336,12.640672
4310.9272,12.497469
4311.919,12.598179
4312.9106,12.925628
4313.906,13.379215
4314.898,13.8807
4315.893,14.425577
4316.8857,15.0611925
4317.8813,15.796556
4318.875,16.506033
4319.868,16.9858
4320.8643,17.138353
4321.8584,17.030622
4322.855,16.766636
4323.849,16.369495
4324.8467,15.792025
4325.8413,15.039105
4326.839,14.294953
4327.8345,13.889166
4328.8296,14.06679
4329.828,14.755278
4330.824,15.585797
4331.8228,16.192326
4332.8193,16.477722
4333.8184,16.573284
4334.8154,16.613186
4335.813,16.609886
4336.8125,16.47481
4337.8105,16.077032
4338.8105,15.3421135
4339.8086,14.36429
4340.8096,13.383804
4341.808,12.654603
4342.807,12.368628
4343.8086,12.59526
4344.8076,13.197957
4345.8096,13.91552
4346.8096,14.572129
4347.8115,15.127889
4348.8115,15.58708
4349.812,15.956522
4350.8154,16.205246
4351.816,16.212896
4352.82,15.891322
4353.8213,15.401276
4354.825,15.095495
4355.8267,15.181125
4356.829,15.5551815
4357.8335,15.987987
4358.836,16.32074
4359.8413,16.484133
4360.844,16.501331
4361.8496,16.504553
4362.8535,16.621359
4363.857,16.834797
4364.8633,17.039297
4365.8677,17.186232
4366.874,17.268599
4367.879,17.227388
4368.8857,17.014633
4369.891,16.716867
4370.8965,16.49263
4371.9043,16.403114
4372.91,16.380695
4373.9185,16.319721
4374.925,16.142122
4375.9336,15.848014
4376.94,15.565784
4377.9473,15.488432
4378.9565,15.690111
4379.964,16.025875
4380.974,16.248514
4381.982,16.192265
4382.992,15.80891
4384.0005,15.115523
4385.0093,14.253684
4386.0205,13.569669
4387.0293,13.427463
4388.041,13.856923
4389.0503,14.50652
4390.0625,14.993435
4391.0723,15.208815
4392.0825,15.284133
4393.0957,15.382067
4394.106,15.551111
4395.119,15.724223
4396.1304,15.842186
4397.144,15.964328
4398.156,16.196081
4399.1675,16.503521
4400.182,16.69276
4401.1943,16.618227
4402.209,16.349531
4403.2217,16.073723
4404.2373,15.8461075
4405.2505,15.533872
4406.266,15.081361
4407.28,14.701996
4408.294,14.64722
4409.31,14.911525
4410.3247,15.331151
4411.342,15.821303
4412.3564,16.347198
4413.374,16.788439
4414.389,16.966478
4415.405,16.772655
4416.423,16.285772
4417.439,15.802166
4418.4575,15.653152
4419.474,15.933046
4420.493,16.454203
4421.5103,16.926184
4422.5273,17.128727
4423.547,17.017292
4424.565,16.745718
4425.585,16.52991
4426.603,16.456207
4427.624,16.467136
4428.6426,16.504515
4429.661,16.565153
4430.6826,16.625124
4431.702,16.62866
4432.724,16.576595
4433.7437,16.509739
4434.766,16.388391
4435.786,16.137413
4436.8066,15.840952
4437.83,15.750435
4438.8506,16.032753
4439.874,16.570723
4440.8955,17.046886
4441.92,17.191597
4442.942,16.961758
4443.964,16.55576
4444.989,16.280897
4446.0107,16.34197
4447.0366,16.689625
4448.059,17.077192
4449.085,17.298874
4450.109,17.345657
4451.1323,17.313961
4452.1587,17.257736
4453.1826,17.168272
4454.21,16.99383
4455.2344,16.66393
4456.262,16.19443
4457.287,15.753681
4458.3125,15.523789
4459.3403,15.509633
4460.366,15.565266
4461.395,15.5764
4462.421,15.549252
4463.45,15.57491
4464.477,15.752167
4465.5044,16.07497
4466.534,16.39308
4467.561,16.553125
4468.5913,16.533287
4469.6196,16.399847
4470.6504,16.23038
4471.6787,16.123943
4472.7075,16.184767
4473.739,16.431318
4474.768,16.765177
4475.8,17.057722
4476.8296,17.259024
4477.862,17.421757
4478.892,17.59712
4479.9224,17.706633
4480.9556,17.589127
4481.9863,17.210089
4483.02,16.767319
4484.051,16.551825
4485.085,16.715343
4486.117,17.164227
4487.1514,17.649544
4488.1836,17.937572
4489.2163,17.91737
4490.2515,17.637053
4491.284,17.28995
4492.32,17.099895
4493.3535,17.139313
4494.3896,17.261648
4495.424,17.257662
4496.458,17.08919
4497.4946,16.932478
4498.5293,16.980751
4499.5664,17.24868
4500.602,17.578485
4501.6396,17.796482
4502.675,17.866623
4503.711,17.916912
4504.7495,18.091854
4505.7856,18.373875
4506.8247,18.602945
4507.862,18.662388
4508.901,18.581387
4509.9385,18.470642
4510.976,18.408958
4512.016,18.383081
4513.054,18.312778
4514.095,18.142042
4515.1333,17.909946
4516.175,17.718714
4517.2134,17.632645
4518.2524,17.625519
4519.2944,17.642279
4520.334,17.691322
4521.3765,17.815815
4522.417,17.976803
4523.46,18.047466
4524.5,17.943792
4525.541,17.694433
4526.5845,17.358522
4527.626,16.951231
4528.67,16.497261
4529.712,16.09245
4530.7563,15.858793
4531.799,15.851616
4532.8413,16.011824
4533.8867,16.193022
4534.9297,16.254818
4535.975,16.1888
4537.019,16.16806
4538.065,16.400309
4539.109,16.882349
4540.1533,17.356165
4541.2,17.566671
4542.2446,17.512457
4543.292,17.390656
4544.3374,17.347658
4545.3853,17.352116
4546.4307,17.30678
4547.477,17.201551
4548.5254,17.091253
4549.572,16.989449
4550.621,16.885448
4551.668,16.824913
4552.718,16.861948
4553.765,16.9487
4554.812,16.978336
4555.863,16.935009
4556.9106,16.92954
4557.9614,17.085426
4559.0103,17.411827
4560.0615,17.789236
4561.1104,18.077442
4562.1597,18.216057
4563.212,18.209017
4564.261,18.060015
4565.314,17.789696
4566.3643,17.509111
4567.4175,17.392254
4568.4683,17.522678
4569.5215,17.790737
4570.5728,17.978052
4571.6245,17.946991
4572.678,17.753754
4573.7305,17.597536
4574.785,17.636074
4575.8374,17.832294
4576.8926,18.02126
4577.946,18.091827
4578.9985,18.024426
4580.0547,17.819874
4581.108,17.506273
4582.1646,17.191502
4583.2188,17.012897
4584.276,17.005316
4585.33,17.067259
4586.3853,17.091904
4587.4424,17.097391
4588.498,17.191154
4589.556,17.417469
4590.612,17.670994
4591.6704,17.781618
4592.7266,17.676868
4593.7837,17.441675
4594.843,17.223751
4595.8994,17.10396
4596.9595,17.069414
4598.017,17.079529
4599.077,17.111193
4600.1357,17.145882
4601.194,17.157974
4602.2544,17.14128
4603.3135,17.12809
4604.375,17.14777
4605.434,17.187004
4606.496,17.22953
4607.5557,17.311111
4608.6157,17.493034
4609.6787,17.774097
4610.7393,18.048252
4611.8022,18.178215
4612.8633,18.122194
4613.927,17.971125
4614.9883,17.859085
4616.05,17.855343
4617.1143,17.93125
4618.1763,18.008198
4619.2417,18.032381
4620.304,18.008453
4621.3696,17.985216
4622.433,18.007235
4623.496,18.06086
4624.562,18.091867
4625.626,18.071869
4626.693,18.013578
4627.7573,17.949442
4628.824,17.910715
4629.889,17.89858
4630.954,17.892094
4632.022,17.886087
4633.088,17.871582
4634.1562,17.806765
4635.222,17.672485
4636.2915,17.511621
4637.358,17.361265
4638.4243,17.203114
4639.494,17.02231
4640.5615,16.867712
4641.6313,16.819244
4642.699,16.905775
4643.7695,17.052206
4644.838,17.112896
4645.9067,16.981487
4646.978,16.669548
4648.0474,16.297232
4649.119,16.03319
4650.1885,16.00067
4651.2607,16.194546
4652.331,16.495623
4653.4033,16.765308
4654.474,16.916769
4655.545,16.933115
4656.6187,16.8797
4657.69,16.89162
4658.7637,17.084826
4659.8354,17.45167
4660.91,17.846249
4661.9824,18.07956
4663.0547,18.052483
4664.1304,17.81321
4665.203,17.4844
4666.279,17.133755
4667.3525,16.737247
4668.4287,16.29963
4669.5024,15.973484
4670.5767,15.959436
4671.654,16.275406
4672.7285,16.7101
4673.806,17.02634
4674.8813,17.159473
4675.959,17.211252
4677.0347,17.289867
4678.111,17.380234
4679.19,17.374565
4680.266,17.216053
4681.345,16.974201
4682.4224,16.77294
4683.502,16.691994
4684.579,16.737616
4685.657,16.852644
4686.738,16.952606
4687.8154,16.985893
4688.8965,16.961355
4689.9756,16.921412
4691.0566,16.900528
4692.136,16.909206
4693.216,16.953543
4694.298,17.048916
4695.3774,17.196526
4696.4604,17.357292
4697.541,17.452532
4698.624,17.39942
4699.705,17.183853
4700.7866,16.895903
4701.87,16.646975
4702.9517,16.46911
4704.036,16.348692
4705.1187,16.311796
4706.2036,16.385288
4707.286,16.502214
4708.369,16.54633
4709.4546,16.494068
4710.538,16.445278
4711.6245,16.508543
4712.7085,16.685047
4713.7954,16.861395
4714.88,16.923326
4715.9644,16.890062
4717.052,16.905365
4718.1367,17.075006
4719.225,17.358608
4720.3105,17.640547
4721.399,17.8388
4722.485,17.92552
4723.572,17.921564
4724.661,17.892963
4725.7476,17.88447
4726.8374,17.836966
4727.925,17.630623
4729.015,17.240808
4730.103,16.807178
4731.1934,16.51744
4732.2817,16.456661
