# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
 0, -5.5519024624638975, 0.8540439359320623, 10000.0, 0.7765067050330771, 507.18318484923947, 0.24784863728342538, 0.0010000000000822695, 0.6136997147659615, 24.35743208079817, 0.9379296336490002, -693.4040281697903, -1.0, 6.719687451144282
100, -5.552036265551072, 0.8541150929558754, 9999.998979208443, 0.7762497674753449, 507.1832226005027, 0.24783168627085797, 0.00264400053185762, 0.6137783652890717, 24.35737455500552, 0.9381378511134586, -693.4040007567677, -0.9998877509217339, 6.719622171544473
200, -5.76980167533493, 0.8957116886842313, 9999.81236564615, 0.4404806126466912, 507.19745473998955, 0.19557774820945936, 0.10561933700699622, 0.6348247086438443, 24.339973281554283, 1.2374229231637615, -693.4107812558007, -1.1217364277476694, 6.7922836262539406
300, -5.658175516054978, 0.8408709035957899, 9999.606279369307, 0.5032710739559333, 507.31934656026704, 0.14558529729850256, 0.12356503930840498, 0.6134904728513879, 24.451112487763027, 1.1563460531364105, -693.8678670238053, -1.5892135745771885, 6.72612948526282
400, -5.464407057343885, 0.7907244732848215, 9999.388714997736, 0.5540048746592263, 507.1763540503861, 0.1380092886072477, 0.11153652186331023, 0.6130922648299271, 24.371926660678838, 1.106082236878044, -694.5724661302554, -1.719050282811831, 6.716804657222909
500, -7.788187661459233, 0.7963988950885228, 9998.771698356477, 0.5602845949015549, 508.47124943479514, 0.12788836918642882, 0.09513895379997223, 0.5968413887081304, 22.737185909855704, 1.1055181812326371, -696.8556035336595, -1.7623090029999595, 6.691084053466637
600, -9.692176659158669, 0.7819369339750422, 9997.950139795254, 0.5696459654936883, 511.45827830230166, 0.12974305049125817, 0.08605706813952357, 0.5969326549334459, 20.97925746783337, 1.1011794399350714, -702.3420950439566, -1.7889546047237865, 6.673032215112618
700, -9.079207172051621, 0.8050838431289593, 9996.803975663946, 0.5742756208856834, 514.392914950924, 0.11811742091980112, 0.11034117391903857, 0.6010687891470202, 23.52770192500527, 1.0909209276709781, -703.3628059753474, -1.8105446912699077, 6.648672200485232
800, -7.380575364939711, 0.7757067529757568, 9994.504965689895, 0.5805442153425194, 520.1972467580988, 0.13663981277858417, 0.1043489837714055, 0.6063312370653651, 41.74949594260984, 1.0779673566086063, -699.6647566334716, -1.8556694192046095, 6.600624662315239
900, -7.516034084004397, 0.7840803282284733, 9991.528379379972, 0.5765363426064741, 523.1055061802655, 0.11767911594787014, 0.11334132403864453, 0.6012953476934173, 96.24248734225989, 1.0874701695187414, -692.4989392154561, -1.8803839325994436, 6.622100283887015
1000, -8.590296538854052, 0.8293853859699745, 9986.320419912354, 0.5751731986340138, 524.8420433306335, 0.10100081498532995, 0.0947746939502642, 0.5960405700930056, 218.93919489848466, 1.1031988259677585, -680.6500456976413, -1.876483183791993, 6.592583826356685
1100, -8.607542548631244, 0.8119572325009317, 9980.0066065764, 0.5673414670592394, 519.2887154476241, 0.09533557570776498, 0.09268344493890722, 0.5975766660979145, 220.82116911736512, 1.105179050205141, -688.7654494232938, -1.8453147189807253, 6.6093366836767276
1200, -7.538307073574174, 0.8000581282197565, 9967.15163298394, 0.5700016619301059, 517.4088008962159, 0.08801454827380206, 0.09028315747112295, 0.5916810811065643, 302.9264882600595, 1.1077492747614128, -673.4335706195498, -1.849232631490977, 6.631989900447763
1300, -9.14516097446421, 0.8038661403766284, 9957.353284999264, 0.5445092432344639, 518.0323603512988, 0.09046097806733723, 0.1052373677288759, 0.5927489659567504, 388.21875472489, 1.133828699670183, -683.5123375382291, -1.7998584001192008, 6.634900907366408
1400, -9.200266643597033, 0.8019580862180352, 9947.342545670908, 0.5375275766940781, 518.3737382214202, 0.0981517489282305, 0.09259056434785395, 0.5883803621320121, 444.08323172719366, 1.1376031802120048, -686.1277649875676, -1.7872626529809152, 6.633920531315503
1500, -9.637582319275976, 0.8385679047990365, 9940.183673405545, 0.5605200235603716, 521.6274127741311, 0.11066157920894426, 0.07676854431609072, 0.5861938687214948, 418.86971464081944, 1.115608323004966, -678.0742136312347, -1.8036274488035358, 6.57651988857646
