# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, oiii5007_outflow_amp, oiii5007_outflow_fwhm, oiii5007_outflow_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 2.9763923803427503, 1.742304961483834, 17.799413372620954, 184.6285241789388, 76.94553548938322, 4.515943234000994, 618.2068594848769, -57.77609650349751, 6.147762336125613, 112.87449023391353, 9.273562726263508, 1331.293481509914, 120.19630074593803
500, 108.28042201606371, 104.19307248968326, 0.22737456284600113, 2.0122403614284874, 2.706499582006902, 1.6756793524515448, 17.35186167222803, 182.48065892977462, 78.25178924600195, 4.900381639658781, 617.9407607942691, -55.87647419831748, 6.2729967749373285, 114.05284214670408, 9.271620526946663, 1337.567284349047, 121.81482211264277
600, 121.28264103256345, 105.08727746223485, 0.03479705571706741, 2.8678263456285427, 2.625462977459593, 1.6900005218445373, 17.415373652658324, 181.50617778281335, 78.2541704752894, 4.910359093641896, 619.0094884059251, -58.44721704537426, 6.165627935693913, 116.6311727006663, 9.229227890552158, 1342.6067167193823, 121.46109643417495
700, 139.50571751543262, 102.38214226403018, -0.27464621295907704, 3.6871225440227073, 2.562886696932081, 1.7112664972714073, 17.619594577618557, 181.3826169828391, 77.80935313660557, 4.818591015591526, 622.4200042151188, -62.874437293753104, 5.999345817669135, 119.16032957675952, 9.160811572592104, 1346.914733759724, 122.3256978798225
800, 159.28212456290203, 96.41321201113855, -0.5441703493760618, 4.326954684888717, 2.5175555077052523, 1.725807369152117, 17.76391321702913, 181.1652825448471, 77.37958759201094, 4.755906738075454, 623.3567988738619, -65.9602082211337, 5.873393843700935, 122.52126940600706, 9.102161959884453, 1351.9035841698894, 123.58679424058855
900, 178.71903533313917, 88.4051944148013, -0.7809496722205718, 4.783199874129279, 2.466596394178941, 1.7439443774101344, 17.96124079781171, 182.1204493824091, 76.86377598598114, 4.630261734674258, 624.3438975438758, -68.55684256505246, 5.82051093918759, 125.21784851104933, 9.052832653958966, 1355.8273129542217, 123.09891040416855
1000, 193.1620936938727, 77.45683021444596, -0.8631878788517833, 5.093214472788801, 2.4633860745093026, 1.7575424319196686, 18.103768764242286, 184.1387479484413, 76.63446357434016, 4.492206073210657, 626.375018357316, -71.06019119494862, 5.843655784927876, 126.47749699258787, 9.033066466908172, 1357.4323089633524, 123.72951238667488
1100, 201.01325597952757, 68.88037867463773, -0.8674729583398674, 5.274472547780805, 2.492875596811805, 1.7706903504352793, 18.190396218169283, 186.21351945314635, 76.5426895494108, 4.396421290042817, 625.9184428963695, -71.48294418728455, 5.905108402202907, 127.15451062631233, 8.991798965586863, 1358.9518773619664, 124.92004155981856
1200, 204.45400299596037, 63.82175751759654, -0.8706105585352854, 5.409001798353669, 2.515569684518494, 1.7726442927668256, 18.24286242491797, 187.80068341802925, 76.91523815046368, 4.331341437854985, 623.3767512789784, -72.1355809275746, 6.0044555992747055, 128.19014270735892, 8.914598426477422, 1369.9352010406799, 124.33440348544016
1300, 206.45057105183716, 61.12665834804035, -0.9045432130195474, 5.562860068690168, 2.524988461091532, 1.7785813002904718, 18.389217495367934, 189.7533811320287, 77.27261610398332, 4.217734658226149, 623.5484319537634, -75.77679170180659, 6.1156100727813705, 128.98611867142407, 8.80261456496351, 1384.7124379367046, 123.02642059273485
