# iter, br_Ha_amp, na_Ha_outflow_voff, gal_temp_amp, br_feii_amp, na_feii_amp, na_Ha_core_voff, br_Ha_voff, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, na_sii6718_core_amp
 0, 6.534608580117714, -75.00319181196161, 6.59573919791097, 0.0010000000002363088, 0.001000000000033474, 41.204103931828044, 39.58498880612089, 810.7859772637074, 7.622831831911651, 184.42894835659965, 6.562412719500355, 12.300765566849666, 3344.569983280556, 24.15432691841666, 2.882461577644827, -1.0, 3.546167142031871
100, 6.534707403443757, -75.0032004218942, 6.595720753412622, 0.0025435944521175614, 0.002250115648260817, 41.20398467433852, 39.58495321251994, 810.785970281986, 7.6229006383775655, 184.42906687958947, 6.56245043400167, 12.300777796274824, 3344.56993205155, 24.154388040687625, 2.882541621216072, -1.0001253923013826, 3.5462051034654483
200, 6.567911512271177, -75.0024603084818, 6.594619768563353, 0.03710440862395978, 0.0410238407153807, 41.21092507145454, 39.580163302773606, 810.7742748329007, 7.628319660701962, 184.46834835591494, 6.560548838816159, 12.290607640622508, 3344.5500512467506, 24.14750188608951, 2.89474408214456, -1.0467155060592626, 3.5495911609980992
300, 6.6004332631865426, -75.01339626534185, 6.671817663677858, 0.05837023186261421, 0.09258434987196296, 41.22446232505706, 39.520096465162844, 810.6651004916474, 7.595940060516664, 184.58093922504767, 6.4737424417897325, 12.270560604475751, 3344.306064057456, 24.098192170075336, 2.956865392037576, -1.0874671045989408, 3.5821670696660393
400, 6.620419171097648, -74.76003486041776, 6.99718159738595, 0.063486129648858, 0.17239859741668861, 41.30095889318032, 39.41863659542706, 810.6190009773882, 7.65329897315343, 184.71856895637242, 6.136036663799283, 12.165814125359699, 3343.8887087256385, 23.93992307004264, 2.925445187181463, -1.1415115809414917, 3.595983212205824
500, 6.606970325701676, -74.90799137096275, 7.190246625910944, 0.058185697182047046, 0.22553363044203548, 41.05774563451059, 39.126223309456904, 810.3523683798849, 7.730269815044303, 185.1729524901254, 5.944123625641737, 12.155966352985422, 3343.992914777935, 23.921332320419506, 2.9332482095628865, -1.1806293200420415, 3.604977110898705
600, 6.597238755980147, -75.3406991019389, 7.268917574388493, 0.05500006274625672, 0.23904671714803277, 40.80880139571799, 39.062446261373225, 810.3656525931402, 7.720619216830892, 184.86851094627724, 5.858734452449257, 12.177098434650015, 3343.0714181948997, 23.97058027721032, 2.910092019307447, -1.2000014544260342, 3.6003639917666446
700, 6.553714179383208, -77.04862095665675, 7.366968193137568, 0.05351597417332543, 0.3010980642970854, 41.15630094471679, 38.734757935493256, 810.262575511821, 7.653950585020078, 184.26870505435755, 5.775967747101275, 12.301709361995897, 3344.2678602846086, 24.07199186617878, 2.9452215735088227, -1.2071164764011728, 3.5498255535138257
800, 6.5819849281793195, -74.37296411028706, 7.411899339148883, 0.05824178555253793, 0.2897999282568618, 40.56916433851483, 38.2423026689402, 814.1841472906972, 7.6145437415420565, 184.1741997093398, 5.738100009787062, 12.268373216767532, 3344.3553726785785, 24.019049008846952, 2.944313293801939, -1.2257202570653751, 3.5864559202086674
900, 6.590882543108715, -76.38665301070137, 7.281591488102188, 0.05626167054634719, 0.41145652815187317, 40.89866198310399, 40.99735694087626, 816.2865754858974, 7.580710392653886, 185.58205820135638, 5.854217124889679, 12.256738311716045, 3342.0564421025038, 23.95845768026896, 2.93631084125389, -1.2227253748497837, 3.624844881515167
