# iter, oiii5007_core_amp, na_Hb_amp, gal_temp_amp, oiii5007_outflow_fwhm, oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, na_Hb_voff, oiii5007_outflow_amp, power_amp, oiii5007_core_voff, oiii5007_outflow_voff, br_Hb_voff, power_slope, br_Hb_fwhm
 0, 10.927964718116485, 5.065536660903543, 6.973533377209176, 356.6202687363978, 70.55178958013133, 2.1134497971092416e-12, 1.1884015695207473e-12, 2.554788574283373, 16.260991396236587, 8.562378099646583, 7.092313187664951, 35.489506763486744, -40.31387478419274, 293.7604428844275, -1.0, 3118.935950104859
100, 10.667198850752056, 4.812137406287891, 6.859197014456184, 356.62358430400843, 70.62634772230463, 0.16692714964399608, 0.6865059368329735, 2.8958378398244915, 16.266507959021048, 7.81603644606215, 7.175456999942952, 35.47464690312837, -40.02900511709211, 293.5213913148813, -0.2015734533886379, 3118.75966821389
200, 11.579824552521075, 5.307152492433224, 8.704891163381216, 364.5630021369185, 67.11902139046785, 0.4349052566822737, 0.3332070360705971, 3.1548274940565664, 13.327652411824202, 7.718105692203769, 5.235900780172106, 30.82397920110639, -41.70452455572378, 294.3951386161396, 0.04984510312168425, 3123.7439175087466
300, 12.38609822459537, 5.641911977586862, 9.62860080254056, 367.96626071474, 66.53515150284788, 0.548276119776687, 0.1368633254951157, 3.240259925367208, 10.76635670286122, 8.013327484491214, 4.310706294903478, 29.00864330786321, -42.94808544642831, 295.7002176478712, 0.24723621627564218, 3126.326367713813
400, 11.929221789844235, 5.565085989403797, 9.964197149443034, 364.90982894423854, 67.2177690051231, 0.48267125767885505, 0.13870051538815656, 3.257884712887593, 11.74591154962991, 8.587361789161756, 3.9427209944361516, 30.977710025669897, -43.23857543301967, 294.40975178167895, 0.3115135406411373, 3126.137871151408
500, 11.857866564978508, 5.515905994710322, 10.009477319240549, 362.64448275505845, 67.49056929077064, 0.55862606987905, 0.11682685784525107, 3.2953586613036023, 14.474461753769525, 8.660656811798605, 3.8931974026640566, 33.63936661129399, -46.04984700118794, 291.4390987782717, 0.3585140524012111, 3126.320191071471
600, 11.729512231571796, 5.518550248504037, 10.041956470413945, 362.4223330057112, 67.62629945230532, 0.5519054305066421, 0.11099477016450496, 3.25901455384087, 14.968768707472677, 8.880004137190133, 3.847244664945663, 35.77671698103478, -44.76556185582524, 289.9379194150301, 0.36462547243823284, 3126.7887280904697
700, 11.549794168260856, 5.389680713263866, 10.002735697343532, 368.88258123683244, 60.59492862144934, 0.5923541373469307, 0.09213714479867025, 3.204611786930218, 17.12552738009686, 8.852957554589409, 3.8640082340408526, 35.559594443788164, -44.82647570007292, 287.5883673238943, 0.3470057145557891, 3128.905926212648
800, 11.744431351337939, 5.450216326801653, 9.980032684695624, 373.7765615408187, 60.98467689570238, 0.5765984378313327, 0.09415667151138563, 3.250906246567151, 19.498119488940176, 8.720639363552134, 3.9023236212344194, 36.49036608494711, -45.291856953963105, 283.68463835836195, 0.34753339899523894, 3129.4663629003767
900, 11.839772013642222, 5.548560604329225, 10.042370679703826, 373.3142896910655, 60.894778041626935, 0.5906547565507955, 0.10044087820359231, 3.2184989867218334, 20.018289091913395, 8.675027737465518, 3.853456733018774, 34.98859610716568, -45.72079426081068, 280.3974912821681, 0.33865188458910805, 3132.5663605946806
