# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
1900, 74.1986494032273, 4262.466242468583, 16.38714266407161, 2876.285280199882, 3466.1365538176005, 103.68219919015641, -629.4481369817303, 603.883577037866, 1.1922919595209513, -15.950024563555596, 32.72750205970608, 22.40241738593137, 134.92568322412808, 93.50087426951988, 4.791001366782949, 1.9419339047482795, -7.851664544844525, 94.66174422587153, 38.96754225456626, 954.1700558412876, 31.413781744088233, 23.786092786185286, 1.9480952562728813, 63.86015322892484, -0.647743753492857, 118.83646565233963
2000, 69.80259369985654, 4208.496648647834, 16.113948616695335, 2854.9483571596948, 3563.9684317005776, 111.62720273146356, -541.6673851427814, 568.1323531659854, 1.1647249247737075, -27.34966685019343, 34.30416819474495, 22.888513128282813, 129.36211498719965, 82.63021315363171, 4.730209954050911, 1.6460969436045523, -9.448393971297907, 85.46571862965301, 39.46462046291534, 971.9459748588208, 31.816093706976933, 27.669436257860465, 2.04298537973758, 66.22326041550029, -0.6172036605914958, 76.4351514905174
2100, 65.56113984321372, 4134.913712951964, 15.791453712752567, 2836.1016543932856, 3665.43455172722, 120.8188072061914, -424.91569268944653, 526.6534591913687, 1.0167727990270174, -39.1048457446404, 35.578423752793576, 23.054298990904048, 115.73059809829078, 82.78948484029507, 4.379813930849459, 1.9097260365042685, -11.745510679121228, 77.09673977233692, 40.105148764617454, 974.8877902315384, 32.48475902467216, 31.526311328779045, 2.1890328029395185, 69.12261358406656, -0.5892851482314254, 42.94391896535726
2200, 64.10769783398104, 4089.306898477928, 15.586581370347778, 2792.727838962952, 3710.4935087173712, 122.03390946934724, -372.26289587953966, 509.8491741593381, 1.0430984705499684, -38.021545380403055, 35.645165787240984, 22.7709756433657, 109.81304678303599, 88.34936619957637, 4.270585702940096, 1.9481976791226843, -13.130919363482842, 73.22039993325292, 40.502004962061164, 978.1895592454737, 32.5325717441475, 31.845937748869947, 2.531226701137732, 69.66746911521368, -0.5822070092772067, 31.825720404322965
2300, 62.634669641137094, 4029.313522557576, 15.299478148117657, 2633.9952075417655, 3761.879589371442, 121.09790801306713, -313.3940975356385, 491.2588745925705, 1.159821645989674, -37.38937240755397, 35.405945794863186, 22.097948322768076, 104.81744101594998, 90.97846723303124, 4.047639179761036, 2.177267085977998, -11.313967291521838, 71.40707685234219, 40.863947616990096, 976.1874725150801, 32.59611812834143, 32.19910012348718, 2.8227093756996053, 70.28956603545893, -0.5878623081906175, 32.708805597727725
2400, 61.160640526884194, 3923.7628224531445, 15.11304820187012, 2198.9045545130043, 3816.5442912356034, 126.69191389296762, -325.71089169497395, 459.5431902697272, 1.176201817133458, -31.44456624821484, 34.45066086220899, 20.74006492085173, 108.0931304468448, 87.5165998648237, 4.519211873046336, 1.668912186154552, -4.345377010330619, 69.5833447287545, 41.729185915132526, 958.4219312656589, 32.38982435472629, 32.730126269853585, 3.8241188217049524, 69.29175847020946, -0.6152618750340931, 36.50391005199164
2500, 60.23513333630669, 3784.804134278713, 15.026039783274394, 2108.891261573833, 3838.989544817648, 133.82208025519722, -399.6493650070523, 428.26559154125255, 1.280861506146858, -23.490694079411732, 34.355174195910834, 18.424943276495014, 118.09788554893751, 80.84848126975999, 4.641564966145161, 1.526642480420305, 6.995639244193974, 71.79847745257096, 43.13374165290516, 954.0633321187793, 31.74753802998201, 33.04347705574257, 4.123904771014978, 69.39659083416355, -0.6187404941290029, 41.416369572084875
2600, 59.57647931908421, 3684.864296871199, 14.712256930325191, 2023.636619689341, 3868.4032679884813, 131.2396155534965, -436.38354718955316, 416.55796682266373, 1.3512728865437378, -25.23769328512503, 34.573305127343474, 16.794420101825402, 126.35666149882928, 82.66068562979636, 4.606099590057327, 1.7157813851674848, 10.282415472922121, 78.86191304599554, 44.195372345825106, 964.0114465222131, 30.676996513330238, 33.449094316759854, 4.240506118761229, 69.90452166333654, -0.641785984365788, 35.58733081408755
2700, 59.41122792824445, 3630.8390958176037, 14.54688594161455, 1993.6873712203578, 3881.716339597066, 134.32604750369958, -470.76084919335807, 411.2851396186058, 1.4247633644196986, -24.722957336031904, 34.800316278839205, 15.699932099060824, 129.10581542744347, 85.5947759566317, 4.48263651659079, 1.9478268363164295, 10.855196014562297, 82.33574023179045, 44.69489113001205, 972.2681298134921, 30.35010060126756, 33.50102371160858, 4.407052628306937, 69.84575161305237, -0.6553299233155029, 38.677405633095866
2800, 58.549893581414594, 3607.444349241718, 14.549773805707106, 1964.7256630747552, 3902.528586767792, 137.22996220739702, -485.3362975431033, 409.16554465327874, 1.4308775374424958, -22.155220633345472, 34.7919906312121, 15.233121093728661, 126.7961501470898, 83.6187552147688, 4.3063384226767845, 2.1179963312739645, 12.775480953155313, 90.27476059298108, 45.023527176315284, 975.4984242372072, 30.444219848413223, 33.45983828452516, 4.768740330982913, 69.76018155977502, -0.6758647071328203, 38.648334461038985
2900, 57.95550012606002, 3585.586197423103, 14.568192276475866, 1878.532908803047, 3929.3032805384846, 146.54092173067434, -483.1744983208208, 404.04136982569196, 1.438008949202294, -14.086461751061423, 34.329576971973424, 15.170092658515335, 124.4600494209974, 83.75294367876111, 4.083214962755126, 2.2445338559206505, 13.399444847441426, 94.50923606170642, 45.02112405353557, 972.5457333056918, 30.515087483005846, 33.22982693782995, 5.373654399291236, 69.28816279862491, -0.686253706994455, 32.50020001724232
3000, 56.82216768793918, 3565.8423244797036, 14.647522941456877, 1834.2311905955987, 3966.673152135613, 151.79830422012137, -491.6776859687761, 397.1154150856726, 1.3195559425268404, -8.424800123311808, 34.22929108852983, 14.86539113875376, 123.95303085877642, 83.37862662270373, 4.129503512246834, 2.249830449954212, 13.819494798365271, 102.39323541978521, 45.07239869198507, 978.1007549395824, 30.543104538215808, 33.343071544065864, 5.800412979360225, 69.58353293897623, -0.6834116194525882, 25.102954853992237
3100, 56.62002058930207, 3549.6792746002147, 14.717061874445394, 1804.4385069258979, 3982.1133096796125, 156.0063741337525, -507.82782237479125, 395.25445999971885, 1.310980389730024, -2.1123332304756754, 34.16545176401673, 14.761550344229965, 125.38364498458517, 81.60931896574708, 4.143683634886389, 2.2621057801177966, 13.63317838541905, 102.02492951764508, 45.19651786336107, 983.0614474003646, 29.908260234239542, 33.00681026259937, 6.061281652753888, 69.66178937609448, -0.6653737870342766, 22.865529800918697
3200, 56.53107051235705, 3527.705899558839, 14.822815982198298, 1776.9223174297501, 3987.0706787680065, 158.7885172917442, -501.1901999244569, 389.33568067671166, 1.3946119940538462, -0.08054898314866143, 34.37200323412702, 14.729804541894389, 127.34004976381655, 80.53830003017154, 4.15054818859657, 2.254621707510994, 14.018273018993987, 102.26037777164997, 45.42626973133306, 987.6671339772448, 29.50432919576362, 32.86089082217961, 6.156006525549534, 69.23108719358811, -0.6440216558404493, 19.20768928188967
3300, 56.954801437619814, 3517.74161831582, 14.928004191274272, 1741.6447252434189, 3971.948665119417, 160.5779647574258, -502.0872811233667, 390.2874519435981, 1.4155518023176312, -0.4503719291457635, 34.52003027768669, 14.627646016189278, 127.70166734663687, 79.7111444783078, 4.136211657548226, 2.285269398876324, 14.250936430406579, 99.46547855163372, 45.54844382224523, 989.9641750524536, 29.567709370847183, 32.649677295899835, 6.2829585740429215, 68.9905714632869, -0.633818006633243, 19.600272036927493
3400, 56.88369162338593, 3500.8997512080423, 14.924918463089304, 1704.4324744992812, 3984.267628894382, 160.16665065795723, -511.01527608726883, 389.6409373992284, 1.4089699700686134, 3.510595234261018, 34.95625804675038, 14.455807410629282, 126.80494847571521, 78.42288879328122, 4.127317874209807, 2.2851957154348033, 14.664623424458252, 96.87476530171209, 45.765935769551575, 990.0386728850929, 28.6989964310814, 32.65882626744564, 6.438576106786505, 69.09116151053883, -0.5981115412325065, 17.714089640585108
3500, 56.82674931073333, 3493.1906004822363, 14.890067027873606, 1685.0560099930783, 3981.9560172244264, 161.642885128361, -516.4189754793708, 388.58934149599486, 1.4837418062197234, 3.575138687898666, 35.154175865284856, 14.575792875126858, 127.39890314150674, 77.51468953205665, 4.0456460036629025, 2.3500398763730024, 14.558711819777237, 98.61766925518397, 45.857296917615926, 993.1538596435471, 28.356776396646506, 32.77304145955577, 6.492780080630142, 69.12318377818556, -0.5604586135086411, 17.766948163969015
3600, 56.95258755188467, 3488.8865543194743, 14.901513218214264, 1663.8395903627943, 3984.680511775696, 163.50104788859835, -518.1265428396944, 387.90882895192277, 1.4863576455490233, 4.97514795573445, 35.26179820428637, 14.86535214307966, 126.16049284859793, 76.27646183875926, 3.995372658029077, 2.446782612524391, 14.567102648129964, 97.73141270848261, 45.90159971391161, 993.4207356787053, 28.075968289182114, 32.79927135938075, 6.537200794698953, 69.1737950917465, -0.5393524414520166, 19.85839892632046
