# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 2.227766990366764e-16, 0.10601441025057787, 6.608816998154679, 509.4949706968827, -9.253045167876547, 0.8299950487287794, -693.0123366619673, 0.5493471352877504, 9999.999999999989, 635.5038815378618
500, 99.75982416870254, 99.65480617058039, -0.09046817926348304, 0.21560394776662004, 0.13600541099772678, 0.12496021690385535, 6.648859814947836, 509.4519971749847, -9.285615809569506, 0.8027517911974602, -693.4982815549521, 0.5701708620193815, 9999.6748338741, 634.9529565095754
600, 99.47936656901898, 99.53946514795642, -0.24959374534647855, 0.2893290766829763, 0.14519436486007914, 0.11963094919349863, 6.663197680674605, 509.40756645235047, -9.291871659564459, 0.8033830044631055, -693.8838732119261, 0.5663808026470499, 9999.510249786548, 634.4420178565441
700, 98.54205508766883, 100.36608992850906, -0.5034624719872204, 0.3489970817150366, 0.1434304995115421, 0.11253396518240436, 6.6662499677396685, 509.61382267764077, -9.021406713875548, 0.8027333239157073, -694.4214228332344, 0.5633485772031395, 9999.317610445816, 633.0033363768873
800, 95.86404615263045, 104.5668702248643, -0.7193287116504499, 0.39842502580399203, 0.13932557785982755, 0.10930876247300156, 6.662346569061718, 509.96864502523476, -8.573035313371914, 0.799704904098939, -695.8179691558147, 0.5644453156942486, 9999.05392534014, 628.8239516672608
900, 90.80900556705598, 115.34515971487014, -0.9072343106009167, 0.4324562020128459, 0.1338267017520973, 0.1075126328450025, 6.647201795178109, 509.89013033052123, -8.551678761715685, 0.8047901808400707, -698.5831619435753, 0.5658755862556916, 9998.695511817297, 618.7965328844809
1000, 82.04717949592792, 132.0832362421909, -1.042097141984589, 0.45623410127409775, 0.12862465664932946, 0.10391582296675901, 6.6300157761555365, 509.9976185730414, -8.875453091848007, 0.8039758224239094, -701.8803261343882, 0.5648257504921228, 9998.233467321123, 600.9382137898239
1100, 69.53417271977754, 153.45761064609985, -1.1222293785440176, 0.46969460304251676, 0.12692438143268234, 0.10202087636064121, 6.609876968428797, 511.1809543092679, -9.026158118166576, 0.8029417835874584, -704.5146147721427, 0.5626680761775062, 9997.772281486301, 577.122024961405
1200, 53.909231237527976, 174.76532029624587, -1.1239994586946138, 0.4791676186521928, 0.12760377757524352, 0.1006382704978632, 6.591775147264814, 513.3553856116465, -9.278863705602243, 0.8035718049754047, -704.6523573895183, 0.559728463444851, 9997.274944025296, 547.8236420139079
1300, 32.895203922928395, 195.4616340806422, -1.1138340696407583, 0.476935522063298, 0.12609878444728273, 0.10083160735929236, 6.573485249053251, 516.0166355277936, -9.618590032657693, 0.8072545535412451, -699.1660010381263, 0.5529722506186008, 9996.77436481126, 503.39516407508734
1400, 6.830286556696572, 209.09078697570894, -1.0560280867583332, 0.4709276673740673, 0.1197552147291752, 0.10387841179482142, 6.563411615699183, 520.9875545614939, -9.210375457990128, 0.810061251904237, -682.4468303181915, 0.5493405624080822, 9996.057940748937, 453.3589046372007
1500, -25.08641902534449, 214.66993509793986, -0.9613444207397489, 0.4726137576361726, 0.11043087442265703, 0.10641619706628726, 6.552898919810831, 526.1944892057166, -8.505606162697335, 0.8269555946178637, -665.3784775750871, 0.5470837349254374, 9995.169454528774, 418.3572010421361
1600, -53.676404089254305, 217.4283354100461, -0.8865375770375993, 0.46841926544187074, 0.10238542794066201, 0.10571441308193162, 6.544834719740499, 529.717802501795, -8.109214006582935, 0.8462808964689111, -648.1867946784153, 0.5461002729525546, 9994.090819537618, 388.89151355072113
1700, -79.86173323250351, 219.7944244789302, -0.7771332384927246, 0.46220447581040747, 0.09507908550989705, 0.10641810146910805, 6.537683209507632, 532.2428393792734, -7.843227887581369, 0.8732222815962128, -631.0510340006138, 0.5455920612195698, 9992.804382157407, 363.97486437461674
