# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
 0, -16.03153970332722, 0.6950667451325402, 9999.999999999844, 0.7450059289483357, 521.5301452255226, 0.2057208463052272, 0.001000000000013446, 0.7278111457668016, -171.6023616986397, 0.9710940756525556, -463.4346181867513, -1.0, 6.739800138615616
100, -16.021199801121462, 0.6950555439743527, 9999.984321326247, 0.7343985225574373, 521.5376748276574, 0.20588238698990746, 0.008646231078590076, 0.7270279087036635, -171.6025093770884, 0.9827648727697739, -463.43346443144026, -0.9999157926202616, 6.740014398292475
200, -15.680246286277201, 0.8000266325157217, 9999.764372731639, 0.3260583432149641, 521.7639020876901, 0.17992866279476144, 0.10245339597459163, 0.6301060649836766, -171.65336366491385, 1.3325163125705106, -463.39610876817534, -1.1478976276083828, 6.712915537091241
300, -15.75039196912409, 0.8626159543268276, 9999.686190586215, 0.401638443951756, 521.4836294267699, 0.1335937428190147, 0.09304890092246693, 0.6287040349454041, -171.6452509287642, 1.264487893665501, -463.2797723600897, -1.3914714804140975, 6.658212745863843
400, -13.942377139961245, 0.8371151701680768, 9999.53172653944, 0.48757416679886956, 520.689529775894, 0.1299013349831312, 0.08765991792537754, 0.6113516127138332, -171.62537998569434, 1.1723342395812488, -463.03141751415177, -1.6254772686081023, 6.666378594187363
500, -10.231829438658895, 0.8514768313499967, 9999.214480401071, 0.5089935489793238, 520.0713344605924, 0.12003058462460137, 0.09377653534012173, 0.6021200791086936, -169.26592117977887, 1.1503515194938871, -463.37470797913215, -1.635051598362737, 6.66913530201425
600, -9.155732688205662, 0.8806961630329357, 9998.920832770742, 0.5100089029945615, 522.6088595667447, 0.11779954576238105, 0.0819138290964087, 0.6095445762680626, -165.97113749609247, 1.1456777260502222, -462.6554415279381, -1.6748973667460305, 6.636098216566638
700, -9.141596254591933, 0.8266331005400283, 9998.24986680019, 0.5177854015466616, 526.8310140812723, 0.12049026573084073, 0.10188256105019375, 0.6012025459269131, -170.95983434817435, 1.155269527227794, -469.8415073963786, -1.6670437363632171, 6.585552883471139
800, -12.369551819772505, 0.8402153490792957, 9997.327015371033, 0.5107857330262928, 527.6420509125527, 0.10637654711765021, 0.0934811946850572, 0.6001784655588772, -161.6341533158025, 1.1562371950410604, -501.9920322725193, -1.6256248827513775, 6.606753854272185
900, -11.187978028523517, 0.843365277671318, 9995.293654545265, 0.4682490058292371, 529.6262707364407, 0.10292106216751976, 0.09003556286092132, 0.5946038358896015, -135.07794125844248, 1.2004680208724205, -572.37441795885, -1.598046476746749, 6.667352945147163
