# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
2400, 10.130216586, 44.8249456187, 3469.35249344, 229.829964805, 912.280890698, 136.25486793, 0.314373387484, 98.5512475505, 13.8977837179, 240.110925039, -186.150400081, 6.98272789581, 13.7311040538, 97.2769275476, 1.82384351168, 5.95655330608, 60.1117412537
2500, 9.87318238305, 44.7013894326, 3469.67372185, 230.67836533, 914.475618444, 137.145483229, 0.341971641806, 99.7262181672, 13.8619885437, 243.674673867, -184.408013152, 7.16387081894, 13.764355316, 97.3657700847, 1.7809456001, 5.93325666948, 59.962739469
2600, 9.96031673221, 44.7763329966, 3480.50147515, 230.370045801, 917.911099385, 137.389079271, 0.3414614372, 98.8625576372, 13.8488024526, 249.169886089, -187.451811381, 7.05028650532, 13.7941958526, 97.6122321661, 1.79908486711, 5.92215017513, 59.9865877199
2700, 10.0318489865, 44.9496156484, 3470.80020415, 230.162311962, 915.093533604, 136.302056263, 0.296246416516, 96.4705285472, 13.8517164238, 250.461590131, -187.339065709, 7.03873571524, 13.7460787188, 97.0254965483, 1.81922655392, 5.93798961047, 60.1009807621
2800, 9.75393790502, 44.9435700682, 3486.46440176, 232.186579037, 912.355302539, 136.187165762, 0.32147618331, 97.4910903028, 13.8290810573, 246.509643626, -188.791428545, 7.03599508501, 13.7632109126, 97.1749538904, 1.83964906867, 5.9596827652, 60.0446394073
2900, 9.94202936617, 44.8241312161, 3498.99027993, 231.169990246, 914.902058008, 136.197616894, 0.329769936291, 98.5531261371, 13.7674887127, 252.720796982, -186.325637077, 6.99784642461, 13.8304531137, 97.2695400527, 1.78872222048, 5.91900204871, 59.8709502708
3000, 9.90378111738, 44.7807843296, 3495.6853891, 231.303276451, 921.612738017, 137.394447454, 0.323804809176, 96.4675190732, 13.7873538431, 246.795189834, -186.634851475, 7.23926602043, 13.6456235273, 96.6112957469, 1.80037703245, 5.90808561273, 60.0171056061
3100, 9.53668255656, 45.0365528796, 3493.509757, 231.07130245, 918.136941443, 139.371368788, 0.326940515776, 96.2091192341, 13.7945522219, 249.96687108, -190.075164268, 7.11785944488, 13.5344138618, 96.8963579761, 1.77618326647, 5.90797928561, 60.2710008009
3200, 9.77002987737, 45.0628825075, 3481.54497718, 231.736922688, 923.538111288, 138.416111367, 0.318655037414, 94.7258179112, 13.8262279856, 248.339556153, -192.693189173, 7.20259684754, 13.5050405486, 97.0110672295, 1.79284728349, 5.91354071762, 60.3638180015
3300, 9.75209683826, 44.972249647, 3483.60949243, 231.459861562, 924.745697168, 138.774287274, 0.325988221927, 95.0109982807, 13.8653436292, 245.9884754, -191.658844672, 7.10929224006, 13.6202697481, 96.7139070829, 1.79889177471, 5.90505622138, 60.1621917418
3400, 9.68734435942, 44.9971664628, 3478.08221203, 230.62428214, 927.877613856, 138.681049095, 0.314283669432, 97.2917589558, 13.8132237913, 242.950401216, -189.311731848, 7.22034823728, 13.6069322518, 96.9698801216, 1.81513255927, 5.95113652119, 60.2287447739
3500, 9.7732459214, 45.169591826, 3490.83761022, 230.874051818, 926.625974468, 138.200574966, 0.277153106096, 97.2353295947, 13.8165493283, 246.777370979, -191.655699743, 7.17220182272, 13.6333030354, 97.3529175521, 1.81584781515, 5.97534328933, 60.3842090791
3600, 9.75561997828, 45.1284172377, 3484.82726483, 231.296613439, 925.024990896, 139.17773996, 0.262239689968, 98.5375754111, 13.7526296852, 241.740398115, -192.105791742, 7.25857356631, 13.5651919481, 97.2237411538, 1.80865755749, 5.94457552019, 60.5849142642
3700, 9.51623188521, 45.0881995438, 3493.2032448, 230.431572704, 922.82128758, 138.755076323, 0.280635969117, 97.317982841, 13.7663325056, 238.73089732, -190.378310993, 7.27208923068, 13.6472571632, 97.3805100882, 1.82225726911, 5.93722958937, 60.3385753674
3800, 9.21151974826, 45.1288100038, 3499.5245146, 231.678223783, 928.393420968, 138.639466353, 0.272396677861, 98.7827381546, 13.6146816443, 244.21142789, -190.020393737, 7.35321808744, 13.5364095074, 96.8128705808, 1.81494705391, 5.95386515985, 60.3146372811
3900, 10.1409569047, 45.0812261845, 3510.75993768, 231.226327689, 925.083867414, 139.071075769, 0.318261274161, 97.726224171, 13.6479840739, 249.927888124, -189.326735599, 7.20439454845, 13.7133751028, 97.0391069906, 1.83571738439, 5.96905225318, 60.0406650794
4000, 10.0514892403, 44.956199762, 3483.15214636, 230.238516574, 920.2309832, 139.990211327, 0.296488738444, 97.2400014681, 13.7616708106, 246.721765397, -191.691892315, 7.16403635622, 13.7102306903, 97.1082671546, 1.82876102364, 5.98051370897, 60.2640757758
4100, 9.8203778495, 44.8699501476, 3477.82203302, 230.775541308, 925.341816279, 139.379933208, 0.299479178388, 98.183504538, 13.8632209786, 243.998514454, -188.253414696, 7.02415626338, 13.6000337895, 97.2165740454, 1.82936364872, 5.96494371142, 60.3075675688
4200, 9.99451598421, 44.8776633436, 3492.08650402, 231.052033641, 930.375556821, 138.230838943, 0.32167752088, 98.8767304408, 13.8120074227, 249.21929068, -189.909989527, 7.01660824065, 13.6618127204, 97.1373895823, 1.82900786781, 5.95599769289, 60.2260396268
4300, 10.0222647179, 44.9576247636, 3503.67416969, 231.075469259, 928.009548412, 139.205075186, 0.306806943525, 98.517756889, 13.8259578227, 246.436002076, -188.106852576, 7.01431800051, 13.6430606922, 97.3632070559, 1.82673740369, 5.97401310474, 60.3313895541
4400, 9.99255742464, 45.0426467703, 3497.66948948, 231.566413458, 924.419589345, 138.63377318, 0.371918274958, 100.073877968, 13.8287545792, 244.902357711, -190.587094161, 7.04949616081, 13.6190048809, 97.5858003229, 1.82444917682, 5.92473245764, 60.1571975937
4500, 9.69834016016, 45.1904419552, 3504.41467201, 231.716220533, 924.648693335, 138.496806092, 0.339573084914, 98.1753475745, 13.8097222132, 248.416744933, -188.400923855, 7.13047919846, 13.6364820484, 98.3012078957, 1.84364795243, 5.95368679005, 60.1949172029
4600, 9.75523985129, 45.2303962987, 3491.21830445, 231.264474429, 917.944027557, 138.310790427, 0.358937163314, 97.5936183007, 13.8478725905, 240.469087262, -184.555386014, 7.10938859207, 13.5862502489, 98.0321160842, 1.82429299287, 5.96616362254, 60.2472981144
