# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 107.22731070049633, 441.523731077558, 13.050751498786832, 31.835321139317678, -2.81626709773367, 19.902349711908066, 1406.581794505143, 121.11897624216323
500, 105.38100751938799, 122.16000576652188, -0.1135044704042021, 8.830582833383662, 1.2929583227111423, 2.3086148507462543, 111.65776309711333, 445.05051490711185, 13.344307427844281, 24.914950899421658, -4.245373682254842, 23.166041912165493, 1410.9708765826351, 116.11778103187612
600, 105.8633106760632, 129.5084778752408, 0.12269041061616699, 10.096385417124843, 1.5508810931378154, 2.480982096535177, 111.9741733254859, 448.0595420516323, 13.677628618457664, 24.467439983902647, -1.8173789358132963, 23.54427872647962, 1426.1658468125552, 111.37937099237935
700, 105.32408883684276, 134.8649186840567, 0.3618496707869623, 10.189293730520454, 1.7283095489233111, 2.4190550827009183, 111.55715057247411, 452.1353035959333, 14.623917489275422, 24.937013662498497, 1.9105747368100545, 23.320965698930745, 1461.8509274600888, 105.9348304690789
800, 104.44885796048472, 137.38119090551888, 0.5595056179995705, 9.600628003144344, 1.8120950792473878, 2.485489657804361, 111.27734229033668, 454.9970411734184, 15.449250449509677, 26.048899541361518, 5.901706505088747, 22.808075586699402, 1522.961769819182, 101.61730827395905
900, 103.4458684709711, 138.27399623868502, 0.697259154512587, 9.521731903384639, 1.8121169112093314, 2.545999842471296, 111.07902083496492, 456.5470238389152, 15.831859633388927, 27.191385431090318, 8.774672287880788, 22.024349528321526, 1597.9055112283781, 99.91467843508434
1000, 102.7263732484185, 138.35448567699024, 0.7466590235768179, 9.570876073905502, 1.8429073261666338, 2.6161334621420775, 111.01948485760225, 457.11370564030653, 16.00473616221045, 28.495296484531757, 10.612490619998425, 21.103488020213327, 1685.8196700127623, 101.84411296121019
1100, 102.5781073359361, 138.30973369334214, 0.7556258254668698, 9.699861907213997, 1.883616046135486, 2.676925781174463, 111.03401111776763, 457.4638824970867, 16.00834030777754, 29.72433826377798, 11.670432964123295, 20.237569036686192, 1773.2461842674554, 107.82528321263374
1200, 103.11576667754028, 138.32766497866945, 0.7827166673315908, 9.59830651383885, 1.8634527980298365, 2.726000789909932, 111.07455706628494, 457.76157339086177, 15.797179986297218, 30.70941828854641, 10.985488481065838, 19.64735397400151, 1842.178651370412, 116.1897178092218
1300, 103.6911422939411, 138.36641038482193, 0.8005519715654176, 9.44727052791957, 1.8522602922760942, 2.7394321539172455, 111.01783162930813, 458.47108400249226, 15.478484927324953, 31.22633935754947, 10.355921573168644, 19.354041833969664, 1885.8968013303659, 123.12661017066834
1400, 104.14082706407648, 138.2042098601867, 0.8279650601225801, 9.445730627062508, 1.8852338466065695, 2.7294548179300873, 110.99319688235374, 458.9401528493251, 15.255752621924195, 31.454322029818552, 9.792869550656016, 19.18858423325526, 1911.9677435499268, 128.9559390812232
1500, 104.51658112002123, 138.2517154127604, 0.8459567967737449, 9.43617408435884, 1.9014283947339854, 2.707730480923632, 110.97108986581917, 459.34280935446634, 15.213211572718157, 31.62548202600492, 9.568309927836657, 19.085496018213647, 1926.3163008992428, 131.9667879891294
1600, 104.58488918232568, 138.17743005491664, 0.847141059681944, 9.39199704919218, 1.9029440244806233, 2.702918311390398, 110.90612139377397, 459.70887368849174, 15.297919894926798, 31.66880724410621, 8.817379006294216, 19.06990049877494, 1929.561010938155, 133.68874931604017
1700, 104.51204827913959, 137.98566575942058, 0.8805857191006061, 9.332539928676347, 1.916962949750465, 2.7025195354634435, 110.8937631408922, 459.72670706591146, 15.303453297412586, 31.707575892925075, 8.714709679997009, 19.072156675211588, 1930.0293206017775, 134.38800829229334
1800, 104.44132683784606, 137.83397615891005, 0.9211898102644996, 9.27201211419983, 1.9635301050683076, 2.7150435304512306, 110.87984571014941, 459.7882355420535, 15.322942833127142, 31.83287142580716, 8.682995826048188, 19.03054670080439, 1933.387835643517, 134.68413975317375
1900, 104.42398792109738, 137.87179788124925, 0.9434127217932351, 9.131967412808642, 1.9943208326750057, 2.7230774899201244, 110.88951079092234, 459.9195990991801, 15.323799576260239, 31.971878352466078, 9.270329428921016, 18.969663644723735, 1938.5007555874747, 133.90485424180406
2000, 104.26746624170507, 137.77118843027696, 0.9588901521016736, 9.03442055299231, 1.9851820474017945, 2.7433435382517537, 110.88737434787232, 459.92695986279153, 15.142943453909124, 32.03166788905245, 9.580358377995601, 18.967817785626053, 1939.7774629002477, 133.79288295435305
2100, 104.27153155802903, 137.83815424190288, 0.970645226243755, 9.002991682633676, 1.9624715620969293, 2.7619416689217213, 110.9613892040544, 459.84811308227876, 14.869558208278908, 32.17856132761693, 9.617072973583747, 18.918258669756515, 1944.7109625235846, 134.21669579974122
2200, 104.17531162280258, 138.04713157168993, 0.9586656534731741, 9.092660464385164, 1.9442028332398689, 2.764097026264795, 111.01000438467761, 459.99719119524826, 14.769860112105437, 32.221937344821015, 9.70443923762326, 18.882104034290084, 1948.6391247119448, 134.40418063931497
2300, 104.09392711335644, 138.41031511429935, 0.9586886308406836, 9.17257011420135, 1.9370204280261316, 2.7522939201427583, 111.02549699485893, 460.0556652412439, 14.712185654448808, 32.117931486419494, 9.81667624342596, 18.933417843800804, 1945.7915911693158, 134.760954996722
2400, 104.19379901572172, 138.64686212013004, 0.9694874585882249, 9.20491608828057, 1.9506501241511647, 2.7469244913708377, 111.0458250787117, 459.9229120019467, 14.70167524325674, 32.04773447516972, 9.78724123590521, 18.99569054158415, 1943.622016906292, 135.40622810376453
2500, 104.47983047863876, 138.63929302069715, 0.9713484053088665, 9.244195630074508, 1.9784653857036139, 2.725749048195716, 111.10890403963154, 459.8582621841408, 14.761067430548202, 31.93386020160439, 9.769986706866652, 19.046029243539756, 1941.317355679757, 135.49493931228474
2600, 104.58165315280233, 138.656399740336, 0.9755061645500429, 9.20391300656479, 2.0076833086515653, 2.688547478563165, 111.07402607742789, 459.9894991010323, 14.882977140227592, 31.821613015301697, 9.884056806771481, 19.09494736872502, 1937.8681005056403, 135.00319097766328
2700, 104.70307065342156, 138.7943628794895, 0.9912263867577177, 9.027731368897657, 2.0379915952594754, 2.6692965518140648, 111.04064909984719, 460.0194456123049, 14.989482596741562, 31.818225443047826, 9.804550031014715, 19.138835421457873, 1934.4976039407045, 134.63813588531102
2800, 104.63077332285062, 138.90440051287536, 1.012208939101975, 8.790229630895125, 2.040913307731863, 2.664155272450564, 111.00523846728498, 460.1397671351256, 15.015425677681703, 31.91159666371519, 9.442452710369114, 19.154840951084253, 1933.5530993894818, 134.6332849969465
2900, 104.322119377154, 138.9437304998876, 1.021794348041467, 8.583788570333509, 2.0158661106158995, 2.660609660316346, 110.9769368956472, 460.1363824148747, 14.942261431732328, 31.99208262228155, 9.376431444747121, 19.181084549600797, 1934.8259311255217, 133.53548212731002
3000, 104.02045315516891, 139.1003001955734, 1.022937007209971, 8.472536719091899, 1.9855591419970888, 2.677644559733641, 110.91186669267303, 460.1626878460627, 15.086801801782993, 32.081816778568395, 9.72234917576005, 19.164795775896643, 1933.7671039730094, 133.52723129305554
3100, 103.91471548793139, 139.03504775780746, 1.0098731825529719, 8.502411369652734, 1.961979391979005, 2.714752144561981, 110.91830133927041, 459.9791926060918, 15.199674930044003, 32.06852221197846, 9.878724503185714, 19.139882000737256, 1933.6781850882444, 133.10666543193722
3200, 103.76552359216485, 138.91873623976747, 0.9850324618102139, 8.62948922001388, 1.9300814359302387, 2.7458686340609706, 110.93427951308706, 460.01182055666504, 15.259533708339683, 32.04078592062882, 9.94237594629933, 19.09058942289714, 1935.0968006157384, 132.72472815437138
3300, 103.73332923419483, 138.78754439077008, 0.9497270872386934, 8.787433808490476, 1.898249561247424, 2.747424593573335, 110.94657609739733, 459.92606119969616, 15.43287048166453, 31.9904882650497, 10.111989891041246, 19.006136063519996, 1935.8195125103057, 132.96885252996492
3400, 103.80303509415573, 138.6792903944925, 0.9045553414039369, 9.047784742930547, 1.8733823341874718, 2.73757984912969, 110.96691945245911, 459.95759561919124, 15.70166678417182, 31.892443551732157, 10.329462162616885, 18.913935410879066, 1935.6553141249597, 133.8335127515981
3500, 103.68037460088449, 138.60332124200156, 0.8833526852655097, 9.185255152655069, 1.843531654175203, 2.7183003053129298, 110.97292512388785, 460.09538768256425, 15.76729467377983, 31.903590487330973, 10.537004345420874, 18.864289403782053, 1937.4913130320197, 134.37189721812618
3600, 103.57460166692145, 138.68978852660362, 0.8698305252565124, 9.23721420393026, 1.8377241023211621, 2.6962942904511285, 110.94727627343163, 460.22450293951846, 15.813210355393698, 31.986564762826806, 10.842981392000546, 18.826739628319004, 1939.973638050662, 134.66059365541173
3700, 103.5408400826372, 138.69266916699863, 0.8572546012410367, 9.328425488271481, 1.849420430644706, 2.6767216386291675, 110.92167818971075, 459.99155298587317, 15.762487640141412, 32.05146978033056, 11.339886493396424, 18.78289851661589, 1943.6653068098283, 133.3291756349801
3800, 103.62917945785745, 138.66637626173366, 0.8355447507780652, 9.531999093477133, 1.8624712815885278, 2.670206818397218, 110.91390706688061, 459.9004362762966, 15.650723592461377, 32.001071814802934, 11.751776182123432, 18.790355400123172, 1944.9595425018779, 131.72138950253816
3900, 103.81927744760844, 138.59460289671748, 0.838291338501272, 9.541574794862083, 1.878416795595914, 2.679314975052269, 110.92583924005011, 459.8083867300432, 15.485685364522602, 32.08012147602775, 11.393466817365848, 18.760979370096663, 1948.2819271918943, 131.99126839413867
4000, 104.11710294991884, 138.57940671192557, 0.8557782905347845, 9.462196843384227, 1.9027813416263062, 2.6919360030343116, 110.95094487794103, 459.726125386996, 15.37775118405055, 32.09534218624189, 10.510629991583231, 18.744120846025005, 1951.5964388483753, 132.05871262753098
4100, 104.2895272618591, 138.42838168261807, 0.8553894888029799, 9.491976416543107, 1.9064142577669432, 2.6910485128205432, 110.97928735195491, 459.7419747493043, 15.329736641511461, 32.07304312812936, 9.781183400931297, 18.754649802832972, 1953.377653217177, 132.71835210545916
4200, 104.37104567897414, 138.21446494820518, 0.8508064451188161, 9.49810156402323, 1.8958650758104219, 2.6897181960548275, 111.01499318747243, 460.00595416190504, 15.330123372217304, 32.02601177719778, 9.071666018287994, 18.814408712824978, 1952.5525448269084, 134.0394940486675
4300, 104.24298875271622, 137.94706243906882, 0.8663726297650447, 9.289042423684096, 1.9013951733557264, 2.6649942283417727, 111.0379366893296, 460.2699378101661, 15.255007735525362, 32.14654978089949, 8.592208818196347, 18.84231988769999, 1955.5590491010607, 136.384124035992
4400, 103.99495088767019, 137.825339483104, 0.8787190887702556, 9.293531480028943, 1.9193317817254731, 2.659621043734051, 111.04587703799903, 460.59582847680934, 15.206668419025227, 32.133227729408105, 8.91724552483124, 18.870055064511796, 1955.5058637616173, 136.58165236999582
4500, 103.67373234405682, 137.74102882869013, 0.8728549290072719, 9.393446620069518, 1.9325647352654478, 2.65995713950283, 111.00749912951098, 460.55997293744406, 15.044794970652012, 32.15090327481389, 9.44035610936564, 18.8849400575374, 1955.9071078725635, 136.37855855680266
4600, 103.50919252974892, 137.86590169308678, 0.8846277414943305, 9.399602177142764, 1.9498717566803205, 2.684612322448029, 110.973829062029, 460.5718035712593, 14.901136945876265, 32.12856835816256, 9.920449535091828, 18.9069037331274, 1954.7217626457991, 135.9327887178995
4700, 103.53840174325835, 138.09494483168874, 0.9017442015117312, 9.426932205035179, 1.9917090255196457, 2.6904881180381115, 110.88852374988683, 460.7175548572182, 14.861196640127243, 32.1026382343598, 10.127945300003981, 18.899366617430676, 1954.7886838209354, 136.87947714564524
4800, 103.49413962351, 138.39231150901185, 0.9017025079092786, 9.538136939327812, 2.016071034802025, 2.718887501107409, 110.87082264813954, 460.8664719131972, 14.931527271256842, 32.05136964129937, 10.390580218070339, 18.881027484837233, 1953.803632074042, 136.56909385425544
4900, 103.58079359967113, 138.57817124357223, 0.9081387741055901, 9.509716543183464, 2.015982602263685, 2.7255385755520853, 110.81448407237924, 460.86064426089183, 14.94083800502598, 32.067261550757514, 10.593756155735699, 18.87919974254726, 1953.3510722445094, 136.29849277472672
5000, 103.7467873637711, 138.76536890489754, 0.9232617444503836, 9.469524454095337, 2.0114635082550616, 2.7532744255986055, 110.8078355469935, 461.0561411313053, 15.009580632214401, 31.98105711730844, 10.92134001741885, 18.880473267703245, 1950.4536217758937, 136.28341107139536
5100, 103.81923012425217, 138.70700993870395, 0.9321467118393327, 9.45561302905182, 2.003390851489395, 2.746867058617718, 110.85064354641467, 461.2163923408532, 15.05329588676907, 31.944035508336107, 11.149658599165996, 18.87443958859706, 1949.257501930715, 136.5669613929579
5200, 103.87084794098637, 138.56945634548777, 0.9463165622432933, 9.397180553442917, 1.989854298084843, 2.7493082008333696, 110.95202312005276, 461.05139455929856, 15.029675554789831, 31.951513148188166, 11.601399309570638, 18.870091619536687, 1949.1060912911773, 135.64981020943526
5300, 104.15506728907037, 138.3310828208112, 0.9691391869844743, 9.286376926902118, 1.994503521259047, 2.7462746855938858, 110.99271037130916, 460.58102582404547, 15.032547752858235, 31.928880893690366, 11.706792900249537, 18.868544080173486, 1949.6509493226788, 134.36309882957968
5400, 104.29489068104144, 138.07939249373416, 0.97408749866993, 9.229239313595873, 2.0361832143492715, 2.7223896426136234, 111.06132185730098, 460.37802322069047, 15.071260305503298, 31.886305781935622, 11.277987469235004, 18.892874365411185, 1949.5310214533306, 134.34692443241838
5500, 104.4378329822718, 138.01612412901193, 0.974603361345237, 9.122154076023813, 2.0590465515172314, 2.6928704604579368, 111.11569111746414, 460.12337982049615, 15.104162521893887, 31.91126308452749, 10.625641761232066, 18.949394828473242, 1946.8612558773402, 134.82143721758052
5600, 104.48672730681928, 137.94934614504086, 1.005528124470544, 8.963898135129668, 2.0620488392735123, 2.697580724687085, 111.12684280504648, 459.8142213921042, 15.062685633976436, 31.943344392291053, 10.344067811011723, 18.990414371042654, 1945.1260217615384, 134.97967218213864
5700, 104.3630837121371, 137.8202050393462, 1.013516891651503, 8.868757203786465, 2.064381891032942, 2.6827227802415408, 111.070831607718, 459.71842872789557, 15.04888801041842, 31.9624631973212, 9.604482233187971, 19.02638000150344, 1941.5267625505585, 136.36151433248708
5800, 104.16812350199515, 137.82277106052192, 0.9940328263459247, 8.932763354256975, 2.0456107465884545, 2.6879282833512548, 110.9729851935043, 460.0595997350553, 14.99890097811693, 31.955875323067573, 9.244502695979573, 19.04252701451528, 1940.663585232777, 137.7739245913748
5900, 104.03351382076505, 137.89519262524354, 0.9873008198610859, 8.986733461269296, 1.9992660913635736, 2.7195945308328384, 110.872737181599, 460.28436410655996, 15.036516264182032, 32.00750489001222, 9.381457956464796, 19.031201999100006, 1941.9991418871525, 138.1127716238981
6000, 103.92271629394754, 137.8368751338084, 0.9616007958090844, 9.12646786348968, 1.9977291701970261, 2.7142488847849915, 110.82302647250503, 460.40930742390157, 15.009051834610347, 31.999877943269787, 9.711034168102268, 18.998183801841698, 1947.411829741915, 137.96324294390078
