# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
2500, 9.57590639385, 44.9163940449, 3476.75701273, 230.308962921, 914.81371414, 134.982066083, 0.340216801623, 97.4565828294, 13.8768590023, 242.082669522, -186.696571765, 7.28907855559, 13.8220939461, 97.1005039434, 1.81994082949, 6.00633510931, 59.9948480643
2600, 9.67448778108, 44.9467164962, 3470.97756745, 231.704496544, 906.123044414, 137.984615818, 0.34149924842, 97.1786974571, 13.8847091055, 238.262382643, -188.072904004, 7.12377904409, 13.793588796, 97.4083784385, 1.81087709991, 5.97583352436, 59.8900108246
2700, 9.55457260589, 45.0695011626, 3467.50585858, 231.90670939, 917.439211656, 138.178799704, 0.31725747023, 97.1856365029, 13.9505951981, 239.234853942, -188.267423459, 7.09563887466, 13.6835501106, 96.7431445179, 1.82398696481, 5.9607910654, 60.1609598368
2800, 9.88502111789, 44.8735289095, 3467.51135326, 231.025944744, 920.037955105, 137.824069983, 0.339986637467, 98.1552549115, 13.9477974898, 237.29158302, -186.780635283, 7.24209059432, 13.6900691605, 96.2637570825, 1.82635755166, 5.98051714359, 60.0084395761
2900, 10.3911919474, 44.8418280083, 3478.16875963, 230.659810145, 914.593586515, 136.12643645, 0.391053572225, 98.340813489, 13.8378892469, 233.746388196, -187.142067488, 7.24314426313, 13.8028423379, 96.9728599022, 1.79546585299, 5.99947943936, 59.9974917353
3000, 9.73530840835, 45.0607632574, 3470.44230829, 231.747355439, 908.974117283, 136.344262132, 0.355756171301, 99.2541781053, 13.9046590768, 240.175429112, -190.919082554, 7.07771605829, 13.7841356115, 96.9854983484, 1.83908444601, 5.9581138236, 60.0954281128
3100, 9.66094807614, 44.9186365375, 3459.86565402, 232.345978936, 916.127633043, 136.992992644, 0.35036331048, 100.096903782, 13.9035954132, 238.652201793, -189.951332276, 6.99438866987, 13.7711652044, 96.7600229732, 1.82207528502, 5.91288446284, 60.1182038652
3200, 9.33600609421, 44.8514068398, 3471.92660308, 230.150321756, 928.237532051, 137.858601504, 0.321395793362, 102.383878506, 13.891621149, 240.743837024, -186.240431137, 7.0062782246, 13.7071127989, 96.1915758152, 1.78396270701, 5.88671845027, 60.0731976123
3300, 9.14031325387, 44.8858646855, 3480.39226835, 232.145528316, 932.313437836, 137.137725082, 0.30025973694, 102.853135762, 13.9157941434, 243.693052151, -188.659763191, 7.06708791512, 13.424650163, 96.044335457, 1.80458113657, 5.93519269896, 60.080709478
3400, 9.21427272915, 44.9095193726, 3486.51453867, 231.806546941, 929.04166712, 136.742965599, 0.304522120324, 100.423705879, 13.8970614767, 242.38918239, -188.988760484, 7.07312976351, 13.6372957517, 96.0386595303, 1.83918512248, 5.91537689527, 59.8787294375
3500, 9.78423311091, 44.8051755279, 3490.15492218, 231.147885253, 922.109802663, 137.397305458, 0.343402918175, 100.468718719, 13.8851868412, 241.959168559, -184.876029483, 7.08696678416, 13.7837248598, 96.6591443122, 1.81775784991, 5.95289026026, 59.8487547722
3600, 9.95613811944, 44.845027246, 3492.9047062, 229.837138159, 924.434078244, 137.651694426, 0.351027882363, 99.9297659984, 13.85306555, 240.956488384, -182.78707381, 6.97056770282, 13.7952948395, 96.7460873967, 1.81993770685, 5.93381371636, 59.8648161294
3700, 9.94922203364, 44.7992463031, 3492.55559623, 230.0805008, 922.551315802, 136.946415374, 0.303262012096, 100.023712701, 13.9300942721, 241.414250091, -181.868083343, 7.03371732456, 13.7791147438, 97.1782767574, 1.82316483739, 5.95430946068, 59.7368020727
3800, 10.1731083386, 44.9276244659, 3485.69777284, 229.638645424, 919.065654856, 134.858058324, 0.320092693372, 98.3282854964, 13.8671252576, 236.401255346, -181.116628097, 7.03417173044, 13.8794254865, 97.0956902614, 1.80854634797, 5.98532059137, 59.9091012052
3900, 10.2730454806, 44.8713083531, 3491.13661653, 229.680478482, 921.156531382, 138.017670879, 0.310335955496, 98.6833131559, 13.8421722622, 237.147798687, -184.280271644, 7.03449158611, 13.8165793347, 97.102908406, 1.77838134439, 5.97800916115, 59.8985777143
4000, 10.4688270966, 44.8987875929, 3492.03814227, 230.011080321, 923.022418498, 138.173481401, 0.287824222784, 98.2312614962, 13.8229424521, 233.490527503, -185.779295774, 7.06126009351, 13.7694893001, 97.3828910232, 1.79992448878, 5.98256799667, 59.9598764856
4100, 10.1781551271, 44.8543230138, 3473.10392864, 230.392297901, 918.745123474, 138.594375229, 0.286221356717, 97.1367575132, 13.8607531619, 231.183130552, -184.40513087, 7.06084438477, 13.7088135336, 97.4057540393, 1.77176632279, 5.99377193695, 59.9986315386
4200, 9.86842060923, 45.0474351552, 3475.97603504, 231.158834532, 919.730247756, 137.755229928, 0.339146228848, 95.5816752568, 13.9209351327, 233.446582051, -185.224286463, 7.28289765223, 13.5751967689, 96.8087475635, 1.74153719672, 5.95771501978, 60.1926648163
4300, 9.74771082444, 44.9645548747, 3475.91128932, 231.573711833, 924.128116204, 137.731959722, 0.344702040344, 96.3751437769, 13.862559601, 243.704216962, -186.653025465, 7.0660340666, 13.6584755894, 96.7951526608, 1.76162910578, 5.95844054208, 60.0007371929
4400, 9.36352096979, 44.950463415, 3457.3488741, 232.589727384, 921.919304901, 138.445959395, 0.269407070673, 96.0777332118, 13.8134837869, 245.62884059, -189.480926697, 7.14652437912, 13.6076377872, 97.0875225331, 1.75924748887, 5.96002712158, 60.0498863633
4500, 9.46571331601, 45.0500486678, 3487.15765233, 230.721491691, 924.545607759, 138.44666215, 0.247230641456, 95.4907039022, 13.7589600672, 243.984855461, -184.769516717, 7.29244690681, 13.5995827689, 97.7521326808, 1.73228489614, 6.00283417062, 60.043164707
4600, 9.57902002844, 44.8321527653, 3492.76099497, 230.961451085, 930.471428506, 138.537740302, 0.271532512689, 94.7940184565, 13.7868037622, 248.694097736, -185.459274307, 7.27097418457, 13.5592928225, 97.4972913365, 1.76108990966, 6.01258267729, 60.0831783567
4700, 10.0059435549, 44.9385474283, 3491.98950032, 230.974129769, 930.242471342, 138.542197885, 0.328126732951, 95.7871518137, 13.7878773895, 253.270861195, -184.723069449, 7.36054600036, 13.7059961981, 97.3295844664, 1.74887124398, 5.99369022643, 59.9442177564
4800, 10.1850365319, 44.8949961684, 3488.61345835, 230.440967859, 920.000047715, 138.402221432, 0.360365272473, 96.2799165528, 13.7497281339, 251.37879941, -184.976647502, 7.22922741204, 13.9312406058, 97.3801269484, 1.78185505024, 5.96742899075, 60.0114043259
4900, 10.1294852412, 44.9499683876, 3476.05846438, 232.020155423, 921.881362484, 139.811223665, 0.364580819395, 97.8867765546, 13.7428977035, 252.835500201, -187.354649896, 7.0672560353, 13.7332214704, 97.6019227391, 1.79844705986, 5.94347601106, 60.1221276795
5000, 9.95251349009, 45.0632651923, 3482.6453118, 230.152319892, 925.667093881, 138.618295519, 0.334289675479, 98.1786347521, 13.7727779062, 248.102151017, -185.461076393, 6.98028322203, 13.7803304405, 97.1339368834, 1.80185063382, 5.96220197234, 60.1981041228
