# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
 0, -43.70330660343197, 3.3600786983558946, 3045.8899791952663, 2.9618197185847364, 286.66414696919367, 0.235532300072954, 0.056703636379907184, 1.2438009569639006, 36.40852200443709, 2.6106955180252944, 0.637513708535162, -1.4991011920728368, 8.088225709695523
100, -43.703599637788486, 3.3610399855727513, 3045.8896772715434, 2.961648348277909, 286.66417176938484, 0.23689076202431425, 0.05795542130966416, 1.243989107334598, 36.40947650073021, 2.615497163471378, 0.6375289415464847, -1.4993937973173472, 8.086322456196298
200, -43.695998251188, 3.370369889493176, 3045.8531689738006, 2.957694421290525, 286.6464789505277, 0.24282353725341357, 0.06842489448188059, 1.2139532168544631, 36.44601869321948, 2.6279536242081063, 0.6259949673823288, -1.5727498286212995, 8.082778238134178
300, -43.685473747483755, 3.4135041258683296, 3045.8453773290375, 2.9734324885283923, 286.6782283704114, 0.18097042322454288, 0.09964729679747436, 1.1981962839174058, 36.464705327706746, 2.622934297365672, 0.6689802575407953, -1.6342554743390663, 8.09898422774731
400, -43.516302406762236, 3.440803824224947, 3045.567524782015, 2.9346918531107318, 287.0039737035529, 0.16136447480144328, 0.0934972498550925, 1.1742929284750188, 36.30692629026584, 2.6669347387165985, 0.5532587577358737, -1.6239194195105144, 8.041453480378404
500, -43.607970806951755, 3.4784091763724403, 3045.050292096945, 2.94580199498397, 287.7432167235624, 0.16059730963430452, 0.11017009088215686, 1.1710450929473266, 36.30077865351099, 2.6530870315908737, 0.9324157302799791, -1.631083296165869, 7.98813893856519
600, -44.44467628955103, 3.4876559472279425, 3045.5618415011263, 2.9287954903300313, 290.93261960740574, 0.15717777297337462, 0.11096732322559838, 1.159774592171138, 37.81649058386978, 2.6637384727435713, 0.13384529680481716, -1.6334333613227785, 7.961713974715524
700, -45.18242531365143, 3.4993167283462974, 3048.7231807753524, 2.947259700865438, 294.8876589588308, 0.16413687009079891, 0.11464333884589253, 1.160883346876957, 47.27088830649994, 2.653231254878996, -3.7389715859490176, -1.6462781286679535, 7.93226964327476
800, -45.66324130217748, 3.481255480438076, 3047.975357869641, 2.9518993808052754, 293.85830515141356, 0.16411983496616506, 0.10910666557489906, 1.1540682997362552, 71.6334374896112, 2.6439618990348324, -3.726892973618292, -1.650525595585059, 7.938900271038203
900, -45.20219792937229, 3.4520188202023396, 3012.272987337765, 2.9722340186255525, 292.92253489953714, 0.1658001244797721, 0.1107193914587183, 1.1527649837278626, 101.87052833576666, 2.621411765126708, -3.972005237944515, -1.6759096071561985, 7.96402132333367
1000, -45.850379394200104, 3.453719683235105, 2987.604011130615, 2.9703493246969157, 295.4378965293415, 0.16218173775858452, 0.10293139544120652, 1.1548148539881413, 112.02978187370081, 2.623135862954918, -3.915001114698139, -1.6737868891359997, 7.956305818536752
1100, -44.87017309367309, 3.4658069037509933, 2948.9013047956078, 2.9772234779365316, 295.23811115806024, 0.16154408315547814, 0.10502676289402413, 1.1695558058793978, 115.88987203512836, 2.620641365287973, -3.7318629890333206, -1.673476288487946, 7.940324450603102
1200, -44.71011201858843, 3.4833363874325824, 2966.744476819975, 2.9785449252930722, 295.5887024431925, 0.17537924855727866, 0.10010531329896612, 1.171963784118478, 105.02027933101166, 2.6249066537284995, -2.268418116010696, -1.6639840631146532, 7.934686089909116
1300, -44.45595285606952, 3.501533487420518, 3029.126624993852, 2.9638359398103766, 296.8905512555506, 0.17811082666780298, 0.09810394287296602, 1.1621394485863346, 85.24537888499603, 2.6324919946294307, -3.085390061319952, -1.6596139182465317, 7.8852433876940164
1400, -43.85619729835034, 3.4615197687213017, 2972.834680839603, 2.936195928102846, 298.9648343276031, 0.1832508287544713, 0.09171268353410764, 1.1514596746534318, 73.39243114893017, 2.6605085750467614, -1.653692386029512, -1.6366531047772137, 7.856602041642303
1500, -44.90109350141298, 3.4664674507942914, 2933.4766869147256, 2.9379333069902698, 294.75108105526465, 0.17126337631456964, 0.08187236677787982, 1.172292421739258, 87.10274576668127, 2.6617408100511857, -1.2650447647663507, -1.6175601441178973, 7.915708655352763
