# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, -8.93536180729, 0.79292874189, 10000.0, 503.841868142, 100.0, 0.001, 100.0, 0.609781979236, 24.1906951878, 0.937929633649, -698.433096581, -1.0, 0.260507373487, 6.62921387382
100, -8.93537129216, 0.793024007717, 9999.9986419, 503.841943691, 100.000000584, 0.00198423328106, 100.000075686, 0.609802120646, 24.1907596975, 0.937859056191, -698.433101414, -1.00006459745, 0.260401874653, 6.62924925409
200, -8.95409946739, 0.83603480596, 9999.84977151, 503.837795782, 100.047756022, 0.0417683919277, 100.096347508, 0.579229894625, 24.1982423558, 0.866457869632, -698.359457346, -1.03313348623, 0.150817246593, 6.6416436963
300, -8.9385271703, 0.8067778085, 9999.59283426, 503.847840835, 100.422628621, 0.0744929523149, 100.427319569, 0.577631276088, 24.3380494576, 0.71230058465, -698.546783693, -0.956800482781, 0.106797868341, 6.64352931661
400, -8.43415092243, 0.800109477916, 9999.31198292, 503.396258622, 101.499047956, 0.095225597706, 101.93632463, 0.588491583219, 23.726298787, 0.615891523622, -698.887187127, -0.982487277438, 0.092485093658, 6.68373239999
500, -8.47143970517, 0.774794790399, 9998.20031379, 503.265482288, 104.45982034, 0.0935618800888, 106.41778685, 0.572949985373, 24.4214562892, 0.543362296414, -700.914898349, -1.02987778342, 0.0991924112397, 6.67693672435
600, -9.22904078219, 0.78067515379, 9995.78463941, 504.717097644, 114.171453891, 0.0917980264499, 115.652553891, 0.569711923619, 28.0740926988, 0.498987909276, -704.944944249, -1.09161595743, 0.0851463706435, 6.66320923933
700, -9.06227042126, 0.767738159399, 9993.81049203, 506.936831925, 118.983035734, 0.0876135157417, 119.106154065, 0.565054540793, 27.7946793315, 0.473968965741, -713.271013868, -1.16384417548, 0.0761572982023, 6.62113275917
800, -8.66042137954, 0.747821161393, 9990.17519632, 505.237075381, 120.078390307, 0.089549189748, 129.132608621, 0.556325200003, 25.2957691794, 0.429768618703, -709.154545364, -0.877136025349, 0.083421330358, 6.59595435858
900, -9.25945327346, 0.765422168397, 9982.65120425, 506.379025146, 108.609883142, 0.0821870682337, 141.069690113, 0.552948460397, 39.0616099653, 0.497985816022, -688.594041907, -0.983397319824, 0.0827388890543, 6.63272449063
1000, -11.1435627228, 0.852637699591, 9975.90189176, 510.846669855, 59.3966274486, 0.0793350413527, 166.068006077, 0.555424516922, 135.229358783, 0.485837469549, -633.559514556, -1.09132782578, 0.0898408990804, 6.62028807486
