# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 6.51184356851257e-18, 1.233262487779569, 2.4200832617812815, 542.83708715316, -137.96507223248895, 2.5914538785928047, -112.82864286619889, 1.391648266105942, 3788.0582255455315, 311.73367752482386
500, 96.42432410726839, 125.76166669337957, 0.4727927822138023, 1.4375340058704733, 0.23993899289155313, 1.189931022225956, 2.4797309676597172, 553.1549050468257, -128.0706523996817, 2.5333486121922872, -123.76064057082596, 1.5628867317017656, 3804.335450821681, 313.6195371029072
600, 93.69928729829479, 139.23078005220566, 0.5761785484409716, 1.6940078549684952, 0.2459062129068193, 1.1626890701300592, 2.4804422442918894, 560.5976331258912, -123.84911439083902, 2.465826914812619, -130.86584451640002, 1.5481662546203605, 3815.4488549570788, 310.24354184778156
700, 90.77968361910646, 152.41486708916793, 0.5883800879894975, 1.7056892454590575, 0.2148165519160492, 1.1314662177462356, 2.4534257467367797, 566.8429756319131, -121.15324171463611, 2.4197997824588318, -137.24714641132906, 1.512405611241294, 3823.081538191426, 307.60616078446145
800, 88.22624916985785, 162.77729301858142, 0.6128864466965829, 1.6661214186668951, 0.19017168700045525, 1.1240909891688868, 2.4275384023035413, 571.8171165326798, -121.41525387593911, 2.380658555694718, -140.82735386602667, 1.494110420833812, 3826.17100400154, 298.60268315109676
900, 85.49792684666963, 168.05072146727673, 0.6687575565983362, 1.6350644682939666, 0.17557474857103028, 1.1262272266155606, 2.4238327745201533, 575.2832085890584, -123.10873395994894, 2.3573704036475944, -143.33999910338204, 1.4849923355317165, 3832.4594710066654, 284.23008430331754
1000, 83.96606604522047, 170.74045078479773, 0.7022191905052816, 1.6032458359689905, 0.161823566089613, 1.1295607515666635, 2.4139991952706406, 580.569883511928, -124.69732414908158, 2.339032101516021, -144.27072140231905, 1.4736649944916596, 3850.637633485458, 278.96015514254316
1100, 83.2789290276833, 172.26048239232165, 0.7428786039369989, 1.5680867676347023, 0.15151823091625272, 1.1367210340045382, 2.4126717024384523, 586.5514645570353, -124.78162803289818, 2.327758488190684, -144.05311044551695, 1.4586979700778289, 3861.562556021065, 277.8938023503103
1200, 82.81938154762747, 173.4231779411636, 0.7460782756514134, 1.5662180281557434, 0.14833273988480422, 1.1471488141098798, 2.4069601229289415, 595.4231534893295, -124.98568751047088, 2.297833140623151, -143.0758769014077, 1.4554474709113405, 3879.0688098512583, 268.4736338417299
1300, 82.42537498775243, 172.5814752270542, 0.7326568414112536, 1.5779903650841562, 0.14905259036717292, 1.152435680049176, 2.4099829332896894, 599.8021338719641, -122.58423045532327, 2.3080662833281678, -142.11979692614187, 1.4458679410555333, 3905.563861417395, 257.8932047315465
1400, 83.12690911583998, 171.85824474067402, 0.7249013745310808, 1.5862282645593546, 0.14872576712453606, 1.1511266983994337, 2.398990020987244, 605.1607084301214, -120.19960027576592, 2.325130006288842, -139.866363830875, 1.4399021597040755, 3940.60424496004, 254.3652409876813
1500, 82.69059644450272, 170.85527672897757, 0.7183239551038028, 1.6014080047919632, 0.14832310400641763, 1.1501215770992044, 2.4011797928937315, 604.9325565609691, -119.51556974744456, 2.361713268715307, -137.86262947320435, 1.442282056205599, 3968.711210531544, 241.1791242920528
1600, 82.78961605272305, 168.3896796888429, 0.7094289372898502, 1.6345088086622181, 0.14592654444465886, 1.1419676541837527, 2.4048388519102417, 601.8696306922049, -121.5281316248379, 2.3918131724669256, -134.13203721625038, 1.443122559601576, 4007.721303940934, 227.64015490632775
1700, 83.46919252538089, 164.86685992600542, 0.7186579399055179, 1.6523059883905098, 0.14112040579279359, 1.1290540516324719, 2.399392849834471, 597.1040863478653, -121.92737161744867, 2.444958478118989, -131.14634179824182, 1.426776629041352, 4055.9329797709124, 222.99302698098114
1800, 84.01252569893164, 163.1422438362653, 0.7492836446818076, 1.6505793963736048, 0.13398086843539425, 1.1168405575197675, 2.3902187220507307, 596.3600661767739, -123.06691009017395, 2.461091790353902, -131.644245559608, 1.4229121853731588, 4084.4481608117135, 223.14339020227195
1900, 83.88525698208869, 162.70234691462687, 0.7641365317363491, 1.6411830543268127, 0.12642058960516278, 1.111589361337975, 2.3935233328675003, 598.2994761016379, -125.16367269237897, 2.4536073264141693, -133.43869141038593, 1.4156034815689513, 4113.649884488726, 221.79119897586628
2000, 84.45254972891631, 161.8829733267486, 0.7749355363782342, 1.6440281285844742, 0.12123607612927478, 1.1080747893118208, 2.3838582316357426, 603.4589318598522, -126.53935923541447, 2.449917270047603, -135.05098791979725, 1.4049561094944805, 4133.227578503278, 220.22511363133341
2100, 84.49251222496805, 162.16987126680883, 0.8033264954892648, 1.6233094603570077, 0.11953781499740006, 1.1064391126428228, 2.3765685607458984, 610.3554169790224, -126.47606231852974, 2.445154510031107, -137.31021834443447, 1.401911477733386, 4129.15075594765, 210.59953916401363
2200, 84.61184525621564, 163.20500854624493, 0.8194403562381909, 1.608500256876219, 0.12121914230146123, 1.1166017495068932, 2.38516843139272, 612.8592640738628, -128.30923643819787, 2.424748089176501, -139.0298657103925, 1.4033123477451417, 4107.026691614716, 202.64672921895925
2300, 84.26958166654846, 164.42155746509155, 0.8303856677562319, 1.5999980979026216, 0.1261139912644919, 1.1232485978450355, 2.3919769498996577, 615.440870070076, -129.9710234596658, 2.415391198158372, -139.1546349522583, 1.3981973265840373, 4094.0022317358876, 201.3774157627209
