# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, -40.4612194966, 3.89441829917, 10000.0, 296.694818328, 100.0, 0.001, 100.0, 0.783426124634, -795.879405726, 2.83837641675, 9.44778031469, -1.0, 0.529210333132, 7.81134325498
100, -40.4612083172, 3.89439195322, 9999.99864138, 296.694782651, 99.9999603256, 0.00345091668715, 99.9999695836, 0.783417127036, -795.879411108, 2.83822053062, 9.44763975203, -1.0000048107, 0.529143891415, 7.81137138134
200, -40.2521919278, 4.38373528049, 9999.90190517, 296.758711027, 99.9735196941, 0.0969905117526, 99.7069993114, 0.666754689506, -795.85553034, 1.83082807481, 9.69198765102, -0.760195696769, 0.262782184422, 7.79185543256
300, -40.2787452078, 4.90973932683, 9999.79527015, 297.43648747, 100.563457074, 0.110432382976, 99.5408438219, 0.581464934013, -795.665629812, 0.986412302521, 9.66827559056, -0.660446268936, 0.20259428974, 7.71745464238
400, -40.2518854897, 5.07059935088, 9999.5482917, 297.868337907, 108.194037569, 0.113718761266, 100.27314117, 0.542857904403, -795.000467791, 0.660715617217, 7.83991481389, -0.84456054605, 0.19350998857, 7.81515117644
500, -40.4223785152, 5.13248120646, 9999.24068026, 295.885728282, 126.951894161, 0.105997851925, 101.189787965, 0.517190390182, -791.680925675, 0.56639952784, 3.63442887045, -1.0192225665, 0.188084535403, 7.85367057231
600, -39.7509103285, 5.12805562876, 9998.86940899, 292.984485556, 139.253913764, 0.111232415883, 102.116069512, 0.497990779304, -795.544492012, 0.617185348646, 3.84645628624, -1.05001483636, 0.177816994347, 7.84801798927
700, -39.5962215871, 5.15480799738, 9998.53604929, 292.666662118, 144.472747349, 0.106011530801, 103.996339622, 0.499590007901, -797.436434734, 0.640286639569, 6.26755414524, -1.19677835948, 0.190579936821, 7.81545222013
800, -39.6111892203, 5.1800092776, 9997.75607219, 291.672246464, 146.341959505, 0.104127799714, 105.388793642, 0.518560662697, -791.810411886, 0.625142237007, 6.93512216948, -1.14505322478, 0.189845759405, 7.80350947935
900, -40.04263292, 5.16109094723, 9996.77652557, 292.0981374, 143.770304706, 0.111259071354, 106.571471423, 0.522699059727, -732.8416183, 0.616292700557, 7.71488214077, -1.07378093455, 0.192661824543, 7.80298820835
1000, -41.5865257096, 5.16949206203, 9995.22278222, 292.634322266, 143.314655028, 0.0917416195409, 108.009980559, 0.521397526803, -660.925027718, 0.629210983162, 7.80587470169, -1.10335776281, 0.194673719993, 7.7769565895
1100, -40.2909206218, 5.21259637235, 9992.88493444, 292.475669403, 144.254529379, 0.0933451920323, 108.338662108, 0.517828039918, -524.235135396, 0.60102089873, 6.40595158292, -1.16862812263, 0.196325698355, 7.75804499743
1200, -39.2172554187, 5.1965894922, 9991.00740899, 295.329375848, 146.851126263, 0.0932663165203, 109.537331763, 0.512767284384, -477.721744154, 0.533393111136, 8.21152810531, -1.02483840121, 0.203521722885, 7.72572361946
1300, -39.3803971159, 5.18406066002, 9986.0426733, 296.42859594, 144.229607583, 0.0913697073843, 111.087088418, 0.506106985156, -399.791817692, 0.486558652937, 8.84941515804, -1.13104898139, 0.202300267039, 7.73995182326
1400, -39.7258658915, 5.2003493928, 9980.66909068, 295.223129394, 143.942462333, 0.0932781854701, 110.476645934, 0.510723528783, -425.482841139, 0.559991562789, 8.3826524656, -1.00185413722, 0.203849526763, 7.76220760463
