# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, oiii5007_outflow_amp, oiii5007_outflow_fwhm, oiii5007_outflow_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 4.371067003690005, 6.248696570668248, 308.2453755576668, 206.75166335263233, 80.064928147062, 73.91782286649189, 487.67690362025826, -106.44545626889669, 87.62696732473546, 92.93486017862072, 32.47718161815219, 2166.4671663785093, -5.841326288917736
500, 114.4096323648537, 102.82598157196982, 1.1296416639964426, 9.758280283097989, 5.087980691209084, 10.891229766585285, 315.4228021426291, 208.40734961447887, 81.26943658431892, 74.49048208699152, 473.9897395027434, -119.23235091482829, 87.42612245878216, 95.7232692091149, 40.966287492313256, 2188.8978877169557, -3.2145896681600283
600, 119.36531101994149, 103.80428518867464, 1.6626942982277477, 13.04869567061126, 5.09589892578524, 11.784898054833356, 316.5051313852723, 208.6735829464385, 81.09204620467061, 74.77246143679382, 470.5820927311907, -120.91487001311002, 87.47289687297028, 96.76218243882566, 42.67272053441601, 2199.813811680693, -5.50934036952128
700, 123.02445283001661, 104.86037116612738, 1.763164409341648, 15.466225266932032, 5.1403044332010515, 12.214234998499911, 316.2930783960903, 209.06712551100173, 80.67758783864826, 74.61592788452442, 472.3142367232421, -120.7643719500293, 87.77289244124042, 97.22345387192158, 43.21655679201939, 2212.2250539760207, -9.00466413794491
800, 124.41491317582701, 106.0593894209263, 1.7867412059773173, 16.867497591894672, 5.138099092208113, 12.374178658720988, 315.49904972329705, 208.58726394795718, 80.3594751074696, 74.50828844302256, 480.3135659771877, -118.11194907810261, 88.31781025838823, 97.22135045265384, 43.13012917119722, 2228.06101931215, -13.038874262106432
900, 125.00915736705747, 107.16836639241139, 1.802079599180374, 17.562686300517342, 5.026828097696433, 12.500325107742357, 314.6408930711584, 208.4218868297752, 79.62851344575658, 73.73652978280546, 494.07532453296056, -115.80299305259356, 88.8855765622811, 96.87474940518487, 42.78317564025588, 2250.6095073863567, -15.272645932090457
1000, 124.92707442945223, 107.55683322498238, 1.823167771935602, 17.909850670176112, 4.941138288401685, 12.570831132991295, 314.14300919341025, 208.61292151097135, 78.62797882605591, 72.45746346938148, 509.65628899249435, -114.24901265051136, 89.57068985477612, 96.42500779148457, 42.40080365558206, 2280.2727425061075, -16.580065713940627
1100, 124.43856120137156, 107.54110573139732, 1.8483409249324265, 18.129271734334022, 4.8626403767204165, 12.623812100112403, 313.6988996115337, 208.94690878801276, 77.70901262106275, 71.28287048012105, 524.0615927161273, -112.55198062597506, 90.19532145471861, 95.93714343594, 41.98790645686971, 2313.9617757308947, -18.357905198747808
1200, 123.63458222354672, 106.820776958209, 1.8741221678842912, 18.320467922916006, 4.817413154624021, 12.664476309531175, 313.38364940178195, 209.27520191095851, 76.9656949476066, 70.39528450341236, 535.1962037111549, -111.08202217859662, 90.71423734145654, 95.4780755538155, 41.55123271348386, 2349.7788436412798, -20.30603858071682
1300, 122.69835650237081, 105.96310785914024, 1.8951260877303586, 18.398374393381477, 4.814915039328328, 12.672063096284564, 313.3177055001509, 209.71627563639493, 76.40179584952186, 69.72285726718187, 542.2536891839424, -110.13026405699131, 91.13057959074072, 95.03644218242846, 41.172229831800834, 2384.150363529093, -21.849533034742773
1400, 122.12101977105607, 105.09739437821055, 1.9052759092226002, 18.466990146996007, 4.805735939478127, 12.672002972736784, 313.2789065284925, 210.20751741215904, 76.14306002887115, 69.28609129743207, 545.5301528738021, -109.9908754224362, 91.53391510098217, 94.86397143300543, 40.78294139149775, 2412.3741151314275, -23.1952469627297
1500, 122.04233579979727, 104.93074706885079, 1.9101238332385349, 18.465966760955155, 4.803178392258339, 12.68709788452694, 313.4416394029831, 210.5459932739099, 75.9939404058686, 68.89460147129455, 547.7813532010631, -110.38302033985578, 91.84839029401178, 94.89476603946166, 40.508140301316416, 2432.6084902145003, -24.072955817204903
1600, 122.03915689796445, 104.84576219505549, 1.9143858423117839, 18.4373052350531, 4.773115626043441, 12.695929290974536, 313.743672036599, 210.73745966081228, 75.92622717837267, 68.5771347726206, 549.1419578429017, -111.21534416463682, 92.13177948187045, 95.0195702055628, 40.31684904956241, 2445.7193907618416, -24.163900864858864
1700, 122.28389350182748, 104.94155824009577, 1.919114211800364, 18.394244135986053, 4.746149745179293, 12.691973917242517, 313.8674200695968, 210.57332855080185, 75.93530792666708, 68.59166448585738, 549.1653638312031, -111.25699516684098, 92.28110285987279, 95.25557736044884, 40.230592202739366, 2453.1367878247006, -23.507291424438485
1800, 122.47787260297571, 104.95221768223375, 1.919643726343135, 18.37429329906314, 4.726977318245688, 12.686577672733565, 313.866020947529, 210.1720741088571, 75.98514369248149, 68.82516307187124, 548.7247585757717, -110.87178401505024, 92.36894304538734, 95.41761287170618, 40.17546319689137, 2457.5579829633143, -22.586855002805255
1900, 122.70300113777678, 104.91411552785037, 1.9202344040272183, 18.341459690827342, 4.706106745661015, 12.671966042123067, 314.163922999601, 209.77283210663705, 75.99359177091902, 69.02954397457492, 548.1151621902335, -110.55169474212073, 92.56470689880602, 95.55324362416087, 40.14062470878162, 2461.646475238935, -21.944334901514296
2000, 122.9735838161444, 104.69280883898558, 1.9205086234130815, 18.34345889884376, 4.682489279067089, 12.649296848541193, 314.2441427111423, 209.46570475554685, 76.00281393891406, 69.31039062407484, 546.6622351683732, -110.03970526720343, 92.69439307446106, 95.58940025444078, 40.07004813993753, 2464.4969790320606, -21.674459857909017
2100, 123.29721771991017, 104.63049600843544, 1.9168783487327303, 18.355531926453175, 4.7088576894715315, 12.61741056326237, 314.38413843163244, 209.44748230888314, 75.93863198447546, 69.27486519537909, 546.1148406623504, -110.0837348146199, 92.83641483143181, 95.57613968252939, 40.0210724274187, 2465.300488679241, -21.58308197965176
