# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
 0, 13.620609401178339, 268.03752849180245, -188.1420244879106, 94.46627675648638, 100.0, 1.4400062540398417, 100.0, 1147.565980471533, 44.63153013811338, 184.5643430031643, 17.221823407846628, 77.26158056914034, 4922.271622005699, 134.87918424636658, 11.908484401497683, -1.0, 1.229579659043785, 12.260723786344583
100, 13.860545679817257, 268.00458266033786, -188.21444267454808, 94.43659881181179, 100.01708643013697, 1.4397036420713631, 100.04529239900177, 1147.5662291561184, 44.63633568055644, 184.56447585064436, 17.22016206177611, 77.26088609489096, 4922.349311783672, 134.9537920381464, 11.962201337765357, -0.9237600363914641, 1.2153580616185793, 12.260493376323202
200, 14.445100198117327, 267.60345265331773, -188.4518384067972, 93.93484830253345, 100.12936012917518, 1.8085660197770652, 101.05872469193253, 1147.548389572693, 44.7798118016539, 184.82232572948197, 16.39435963347523, 77.30117459958043, 4922.426049475532, 135.1996621799602, 12.091177839908736, -0.20663370611303156, 1.3416884288315871, 12.0284700433854
300, 14.189917413524647, 265.52100657577927, -188.79619612003017, 92.84389688155133, 100.00993536499982, 3.3002843770045622, 102.81651635796042, 1148.2147577970543, 45.88164735011117, 186.71010194700204, 11.967845190351275, 77.1380866035768, 4920.826212138319, 135.5102220577716, 11.645559081869663, 0.7389569353672343, 1.9423321604786044, 11.776268410657815
400, 14.170106468272484, 260.22783107918315, -190.9692375838989, 93.1061183883192, 106.44990747032216, 4.033041515268587, 103.4202769937039, 1152.3032034307703, 45.911447921318114, 189.9333559968286, 10.589682765997797, 76.85615901775941, 4927.844351667109, 135.47541923588093, 11.541203962416956, 1.2149420425422728, 2.231715327808712, 11.543560532161091
500, 14.060351675993488, 247.52500057020757, -194.0883768108727, 93.58696875591308, 124.49409422004166, 3.618253549135825, 105.00838887999981, 1171.9785554987627, 45.31106901099137, 191.3687561667102, 9.972672953745914, 76.89772923074318, 4955.870935039411, 135.40089645822334, 11.539828947084319, 1.2909531140944372, 2.3932217430578238, 11.679965794303588
600, 13.940966324786375, 238.43867295183048, -197.58759129788115, 93.69495496407382, 148.28365222797532, 3.6433757230889854, 111.9774708494759, 1190.618490999309, 44.83548860011483, 190.79983424631985, 9.360637706225472, 77.00350122957451, 4981.857511467853, 135.81280254671069, 11.52368165626978, 1.3832822278883667, 2.4157597607695127, 11.705378102898454
700, 13.949308731729461, 222.5085993279392, -194.75905363738067, 94.26341853640318, 180.0732529561871, 3.681558987487002, 113.68806719786002, 1189.0316957990112, 44.91245752483804, 188.65083214811523, 8.885794512126044, 77.19993595710227, 4992.376144877813, 136.60552393641115, 11.244859072542223, 1.3084207692489138, 2.1523570912851966, 11.903122225848586
800, 13.957714894784797, 208.70466820597113, -189.9875805867072, 94.29315637698517, 208.35195721845008, 3.2124117760303093, 115.53521960427227, 1180.0223138979582, 44.97741359598217, 188.56827155191115, 8.376355475403225, 77.10099616326696, 5001.298636215449, 136.78924164706473, 11.079944902408542, 1.3659844534759755, 1.9872538441142273, 12.00877480154615
900, 14.081514285909398, 197.2866686024297, -186.44009284449646, 94.5094733054068, 222.32366694688406, 3.066037534639718, 120.59633826146359, 1167.3083463690991, 45.325635188144716, 188.36944661486456, 8.072063424938385, 77.08802066005265, 4996.952014232674, 136.76733556991528, 11.082079895204666, 1.4522162756965111, 2.0531331737128933, 12.090573567328367
