# iter, vel, vel_disp, cont_slope, cont_amp, na_feii_amp, br_feii_amp, oiii5007_core_amp, oiii5007_core_fwhm, oiii5007_core_voff, na_Hb_amp, na_Hb_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 0.0, 0.0, 0.07721788490791813, 0.14875475557512846, 7.900860765609043, 286.72560735488446, -42.043899863381526, 3.967893171897646, 7.975738687561734, 1.342096579696587, 2403.703539478629, 160.47349306529551
500, 102.11926015591811, 101.57879460141544, -0.6865905949150827, 0.17317399347544632, 0.19525936847848058, 0.1673207226818884, 8.019963064768818, 285.9786960899787, -41.549102450617966, 4.079829212213563, 7.604442838924069, 1.3800718515562764, 2403.961687362402, 158.11055664198895
600, 105.24309956265614, 104.16853478464033, -0.9269910828972886, 0.19613867250467548, 0.2021737228852193, 0.16210148565583218, 8.064677584468976, 284.34681056963177, -41.24206823020656, 4.102374189813925, 6.564451354551664, 1.3709589683110273, 2404.5330903879767, 154.48376738515037
700, 109.85613336956783, 108.37882370215065, -1.1270227491256228, 0.2047356132523844, 0.2051215285056426, 0.15699764069766078, 8.071126162033194, 283.0797208967629, -40.911002765293766, 4.1136540562669675, 4.868420617711301, 1.3554613976182117, 2405.9592936697327, 150.0240001023077
800, 115.6296409355982, 113.5288622953397, -1.3014719921120028, 0.20549286028470307, 0.2028980980758378, 0.15615820554954102, 8.056346134447079, 282.3630821895045, -40.514508149166765, 4.11790753859588, 2.797764842670891, 1.3403794753306555, 2407.8774829247295, 144.5605877728434
900, 122.04361115760454, 118.26884599787726, -1.3962929667847348, 0.20583231659232384, 0.19843682275687988, 0.15605406175362538, 8.043269404238837, 282.1010454534686, -40.26553625444694, 4.100932908818156, 0.9789364596896466, 1.3261908166481597, 2413.1065887332416, 139.67100706703562
1000, 127.41574396966948, 121.95959390133856, -1.3783152469215019, 0.2013773903329274, 0.19754952027788528, 0.15141598133476386, 8.02622996303961, 282.84836883950345, -40.48989521880895, 4.084410311590981, 0.214770315015357, 1.321535067748434, 2419.8386857742134, 135.39705540495095
1100, 132.19713034209911, 124.57325080410533, -1.3573256149808868, 0.18991405364358308, 0.1985537985182978, 0.14778436483292312, 8.018263037157173, 284.1591652052427, -40.91947424086351, 4.078504125648666, 0.05063715298223584, 1.3255286159464796, 2427.085937110456, 135.73566343161139
1200, 136.14314142287313, 125.76756212306199, -1.3232753071826282, 0.17718815004206273, 0.19624503530662368, 0.14613951755729784, 8.009779803643728, 285.3930504350052, -41.37834704770818, 4.073465472758678, 0.7898266394865167, 1.3253880160973857, 2432.4391086619075, 133.35616598107512
1300, 139.16623562856608, 126.4669444686325, -1.3173893701990629, 0.17672865140095947, 0.19654151673618628, 0.14307631545188912, 8.01836354925702, 285.93787489812297, -42.03252487505743, 4.065061098134527, 1.9373834727751662, 1.3242101712716405, 2445.1029997793826, 134.99862064414555
1400, 141.83783169894238, 127.30684688038485, -1.3576935612412528, 0.1827943436601068, 0.1976014106036273, 0.1395982027217701, 8.026175919137545, 286.2973969143958, -42.52141236046096, 4.063955691321678, 2.9743068233613936, 1.32369070260457, 2451.7481437433253, 139.32077547572828
1500, 143.64553708878665, 128.1325560363409, -1.422218107310146, 0.18888857226491865, 0.20320951939513793, 0.13629099756399465, 8.027782894503298, 287.03395647657493, -42.54202889428159, 4.053816145062597, 3.9136449726021216, 1.3237926048901205, 2455.6868380440465, 142.84984385723558
1600, 144.92868768495475, 128.3771550573898, -1.4469380098602211, 0.18987339006870713, 0.2059052973285486, 0.13508291418119003, 8.011359655111676, 287.84074856181076, -42.41623215183216, 4.054277261428339, 4.888633390471121, 1.3193626752643073, 2466.8097840018368, 141.2679309478839
1700, 145.63548163783298, 128.25611490861766, -1.4472598441168822, 0.19526194343949824, 0.20334609008779891, 0.13355010790679736, 8.009536071474281, 288.20915040699157, -42.30221135087588, 4.07171752301817, 5.4175442851041, 1.3092342191919293, 2490.1106770634187, 143.57778116278314
1800, 146.08598200160662, 128.16335994680438, -1.4210253003912303, 0.19751329453754238, 0.20027554620175458, 0.12969741762591563, 8.010734780187315, 288.6415274115211, -42.14118399775159, 4.088190527326432, 5.592568318307488, 1.3040416565120019, 2499.838677991438, 144.1312287539388
1900, 146.10304692429318, 128.12529738264226, -1.4286515293936812, 0.1985962119017146, 0.1988228415288529, 0.1295137075725244, 8.023426728184363, 288.4495982925928, -42.18853583238908, 4.0893179904410975, 5.638924038656769, 1.3062408799286431, 2507.904742401345, 142.0634083703893
2000, 146.21749968005184, 128.1312917685051, -1.4534570093102075, 0.1942468708019472, 0.1906004498814082, 0.13360102415002317, 8.037399968073752, 287.99149960139715, -42.40562157772799, 4.098630824981192, 5.509132392827122, 1.3008464936421533, 2526.971516264398, 140.14947587320552
2100, 145.78435581805755, 128.6415556280398, -1.495241117253827, 0.1923856852118243, 0.18494625901568285, 0.13716076301713254, 8.05042462993446, 287.4381953507524, -42.71833372656053, 4.100645367003804, 5.067294126060684, 1.3003638407046152, 2530.7800593399243, 141.2833035668066
2200, 145.0187030950891, 129.338363394921, -1.5077783076964109, 0.1905061849932683, 0.17755522551799796, 0.1401372231086896, 8.055535827714776, 287.30489365751276, -42.895534249286364, 4.090112289406699, 5.007771525484825, 1.3050143188832206, 2520.8655491099807, 142.6960454071507
