# iter, br_Ha_amp, br_Ha_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, br_Ha_fwhm, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
 0, 67.40151322293967, 64.32098206107702, -64.6497233557743, 100.0, 9.029211260345248, 100.0, 3700.9302293812893, 1000.0, 28.31613322335557, 33.83833099596272, 69.59331756537715, 2.502238214691624, -1.0, 8.578371039757446, 3.626194039870463
100, 67.48184079621626, 64.33488479305166, -64.63706095157312, 99.9972589999061, 9.025876638064924, 99.99344540417411, 3700.919298391092, 999.9839552948794, 28.316275037409202, 33.83322613540483, 69.61440497407318, 2.50244111664184, -1.0001628838665992, 8.579276040644586, 3.6175972620023225
200, 69.3237600430215, 63.526575598372546, -64.6473068326915, 96.53170978094792, 7.033882423255443, 106.01138483427117, 3701.2596168179653, 998.9758810488668, 24.68799206367096, 33.159776085805014, 71.71278325855931, 3.265379615792013, -0.7857691067539829, 8.79695034721107, 3.411047435515138
300, 70.11251759676574, 53.224993854661015, -63.2496555131389, 94.02499881514225, 3.9862605260613218, 137.0755799363593, 3698.3498470468544, 996.2456402554878, 11.123247303017573, 31.961012617221293, 74.79736230448482, 3.346978295938633, 0.5453179832568923, 8.908145774042495, 4.17101863530071
400, 70.65018214467938, 50.00576291742292, -60.812058877712204, 91.24124208321264, 3.1393014467074094, 157.68293653293145, 3695.8892613801277, 994.2458730243643, 8.772806445560445, 31.646392947020203, 74.81436000504652, 3.2882366623306307, 1.2442747970749009, 8.942998471740868, 4.224631428045829
500, 70.8475335533675, 49.36206254656493, -54.79368578273611, 86.19262524604113, 3.6204704916775388, 177.51179218808915, 3698.0811458064077, 989.4546284562658, 8.536002545328223, 32.06011221377539, 74.46585830724169, 3.296408950646929, 1.4117026219494995, 8.95783334544149, 4.173354737117666
600, 70.62834230072923, 49.34316372522694, -50.50687559258194, 79.8833338789662, 3.7022501561814307, 189.48341907271157, 3708.9419568442427, 986.1837040138765, 8.346756552443892, 31.969536911233767, 74.7310461113245, 3.2233906836844497, 1.474922145357747, 8.814918376381753, 4.175461985847374
700, 69.74885248376368, 51.36795445230014, -53.688643528196806, 68.48235363171597, 3.514396452806837, 197.30762696467693, 3744.4929199954963, 987.5505119553023, 8.25530383112592, 32.86005337444756, 75.50111053618447, 3.4070822050365113, 1.499082320750657, 8.509413796102127, 4.068446096791608
800, 68.76216718395597, 49.598655690273915, -54.665145237346465, 59.83845903788472, 3.979649314620415, 209.4196141733473, 3774.6524958002, 992.7732383094055, 8.45930892521395, 33.619174160610584, 76.2342924802451, 3.3885551423131726, 1.5265254123033918, 8.310513845661768, 4.045216753573564
900, 68.12476204963168, 48.694041794285404, -54.23489395357868, 59.3334434649272, 3.644008259027104, 214.6413247518495, 3788.227704626585, 994.2677435360173, 8.28481404525857, 34.12162342832379, 76.6698294398133, 3.3790566918693266, 1.5844222198600473, 8.27859718036022, 4.0168470053927425
1000, 67.96507533501251, 47.152539740633536, -53.493093601939776, 58.01897501284501, 3.540689881130902, 218.50967226156428, 3792.2214901176158, 994.661072746248, 8.022423551119596, 34.18798310326572, 76.95910410459472, 3.3315404547601313, 1.647848048183619, 8.350165617327654, 4.0229846285323445
1100, 68.08920411906169, 44.755815615055695, -51.736800055492694, 54.509059684858556, 3.1164490000453617, 219.15200696067475, 3787.9372023009532, 994.671031221505, 7.9112073589397784, 33.71325815285421, 77.00186604820782, 3.277100675031251, 1.6017013560878752, 8.29356180910004, 4.087419193023688
1200, 67.82988553111308, 44.82826353139947, -53.383330560241255, 52.650442496446935, 3.3211070903734834, 223.5556237438629, 3793.8896071123368, 995.084957045153, 7.809920378167101, 33.968366449936894, 77.12942387668954, 3.328239470235184, 1.6537054727349183, 8.21220581607552, 4.035243219089914
1300, 67.50966926546963, 46.07470824442103, -53.51550893727578, 55.1191423162147, 3.2980802245382077, 228.07119052389325, 3803.3302045142345, 996.1861374663677, 7.733322606995362, 34.20129548944672, 77.24486602173987, 3.310911792653763, 1.656098535895644, 8.236192520535363, 4.045319845362642
1400, 67.40050730084393, 43.847574220625134, -52.15000161743792, 55.63760930370281, 2.7860705414307105, 222.95706456779817, 3808.2127796040163, 996.3597419450125, 7.782454645551727, 34.040927499196854, 77.46969010973048, 3.270673617820097, 1.634873698992177, 8.209929719760396, 4.100403996436678
1500, 67.482019478018, 40.963513561294235, -50.264349280885945, 57.48283496459523, 2.4444193046905536, 224.83907073165227, 3800.1121598994605, 995.8426607473885, 7.7176739599041575, 33.82278698482797, 77.45425585384629, 3.2576348102894275, 1.6289054109663645, 8.19194724061154, 4.138208109413964
1600, 67.60887050565425, 40.2238203679549, -51.65644995763499, 57.219744582787214, 2.4129848980232533, 223.50324184916934, 3801.666229729628, 996.4768396955267, 7.693312131711402, 33.923459268017396, 77.46778574115616, 3.2379194631204475, 1.6309772573612427, 8.17577117030281, 4.11685137978638
1700, 67.46867770755435, 40.405599210523775, -52.473778580120175, 53.20426374339746, 2.5783286697106, 227.03951047936206, 3799.5355696906763, 996.5643257407482, 7.657332589797574, 34.21332665744909, 77.28346978080721, 3.2027082764831754, 1.636937661948223, 8.090599861730505, 4.090714329421543
1800, 67.43961675600053, 41.00947371341498, -52.52233024176773, 55.77639188530999, 2.9138974833113194, 229.22295533145865, 3798.3636052570523, 996.6541748824903, 7.648039454449645, 34.14119052239038, 77.369444142428, 3.2845015831321063, 1.637847317391109, 8.090115216729682, 4.016829513712988
