# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_Ha_core_voff, br_Ha_fwhm, br_Hb_voff, na_sii6718_core_amp, gal_temp_amp, na_oiii5007_core_fwhm, na_feii_amp, na_oiii5007_core_amp, na_Hb_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
 0, 11.056237384997221, 3484.5272123408313, 0.09073339493216802, 36.26281824855601, 2636.7021908503293, 221.8025324612502, 5.589544583126098, 6.7677389792405505, 281.9909226820955, 0.0010000000000083848, 16.74132178592627, 7.682892807991127, 4.329368007228403, 6.446902742224649, 81.98435468353513, 2.9527095655369533, 218.84016696123146, 6.903689712655132, 13.18035718404489, 26.69731678622005, -1.0, -4.368150128747949
100, 11.056248734225129, 3484.527195436286, 0.09081649213994752, 36.262858928457845, 2636.702279941698, 221.8026728229341, 5.589514462040788, 6.767730950856207, 281.99098936577707, 0.0017848230508795237, 16.741285168457928, 7.682809693349397, 4.329405852438861, 6.446917123481844, 81.98430435132381, 2.952707276379818, 218.84011952544182, 6.90362253129781, 13.180323781107127, 26.697250971976867, -0.9999378526822402, -4.3682078614309905
200, 11.100830579900727, 3484.600799070165, 0.15753801217937957, 36.33417603622779, 2636.667245957454, 221.88390436530034, 5.580126834682119, 6.897276935928014, 282.0529771977389, 0.017771147093502113, 16.806557277382076, 7.723570434716919, 4.371670432331995, 6.446158468657278, 81.94375775352397, 2.9484230247187346, 218.84058248182612, 6.763750713475148, 13.168644153178478, 26.58145123366784, -1.0105797962075225, -4.409542340788696
300, 11.036738556173807, 3484.5879461996133, 0.19289971692422486, 36.40610363801125, 2636.7128793013326, 221.88265489660174, 5.5201081384259565, 7.259300850454058, 282.30942276085096, 0.037932711546183, 16.859701036378702, 7.801189496803129, 4.434913002345256, 6.407456047458089, 81.91851020175714, 2.9266682471237218, 219.0755038146504, 6.395842931806714, 13.131669775850433, 26.419280928559463, -1.0774187529528096, -4.725836131545134
400, 11.032004650336596, 3484.7060989936185, 0.18780607855508596, 36.59832271986364, 2636.8368979159422, 221.7765838542952, 5.5064173979260085, 7.476036859136743, 282.4708792526929, 0.05664970389766873, 16.81083203764186, 7.732685833630095, 4.398120949978319, 6.394195736822406, 81.98031101611835, 2.952332344144499, 219.1662098163874, 6.176459714816447, 13.138199076923756, 26.408358657739925, -1.135105875847942, -5.068951257467904
500, 11.059971459939263, 3485.3897148419014, 0.1747127999245741, 36.41045696040443, 2636.8627686241202, 221.51153004735045, 5.500215343718801, 7.531899511575462, 282.4014781345163, 0.06410056892169118, 16.75902198837817, 7.692994289753973, 4.375110764745734, 6.246588092383346, 81.99680732475906, 2.9664895416149983, 218.99571840505823, 6.128107398819973, 13.174831533573112, 26.383984582088704, -1.1492806334423897, -4.881802980333089
600, 11.0713476758744, 3485.688200220129, 0.1829448117602696, 36.20638884457669, 2636.7687600086797, 221.7819454034996, 5.494007234981646, 7.610334670472184, 282.67125764262255, 0.07491285734360684, 16.73640337617698, 7.685095296230348, 4.34430314350541, 6.023345019576269, 82.18335187303886, 2.917053327339463, 218.43350044427604, 6.04389816181247, 13.150630148553743, 26.40401916282187, -1.1671774904041476, -4.055768199706805
700, 11.088191760538171, 3486.0139001094203, 0.17392091482415728, 36.237504023668585, 2636.8752473281065, 221.02462398616248, 5.521848705312015, 7.777518415801327, 282.4208078529009, 0.08957365112924243, 16.770317352625604, 7.707085947940995, 4.35930930295162, 5.893196399352235, 82.34964581174648, 2.920020805116643, 218.50902165196618, 5.871440564332084, 13.140972804996878, 26.35999282385253, -1.2118506494161339, -4.372666965471366
800, 11.08577050597825, 3485.255723191319, 0.16884982950979582, 35.57653868300388, 2636.2428443465337, 220.75826777893275, 5.5917417027349225, 7.783566835741825, 282.9733174082144, 0.09001344710924383, 16.795901212447205, 7.682541330159137, 4.33254338852126, 6.090742350070075, 82.65590727203877, 2.9264731611925217, 219.27986504184568, 5.870076270527287, 13.143057642990247, 26.356892446761762, -1.2096707686352959, -5.1625534091730465
900, 11.0671125532152, 3480.962666165708, 0.1774765643753627, 35.9961668813017, 2635.6397259940977, 224.18041385737598, 5.622555141140991, 7.797423023954371, 283.36326675639987, 0.08900557383592589, 16.691668924728074, 7.692939274482409, 4.3405568521852445, 5.861459938844905, 80.47338547368024, 2.909580447980541, 220.4314288706268, 5.856605362751441, 13.172453268829369, 26.31686763828394, -1.2186024602272307, -6.319481734393452
1000, 11.049636358742854, 3481.353860835084, 0.1837766200238803, 36.29005226675934, 2633.5059009643946, 224.955482990407, 5.660484124958697, 7.822672597674115, 283.460334754897, 0.08034142413300166, 16.66772459718006, 7.594835352209018, 4.285732648084837, 5.662922316832605, 77.46779960183706, 2.9399181650217363, 220.34176557180464, 5.8300434480425904, 13.163477652695702, 26.27331586239525, -1.2269538059006306, -4.866215649910298
1100, 10.986046868201099, 3479.739056488296, 0.1940013653672677, 35.910214579334095, 2632.19760759303, 225.77914708791118, 5.549288684624322, 7.864542486265473, 283.278559437499, 0.06862535502045417, 16.72794895800785, 7.664021114632127, 4.243292809220088, 5.048639426608412, 75.31078829824833, 2.941426374507263, 223.5875021074506, 5.794008636356988, 13.084130712462247, 26.165444240645293, -1.2398345120503924, -5.008782048177819
1200, 10.983993495193314, 3480.374710265553, 0.18644727530754832, 35.42595750572321, 2628.019652289882, 227.0956124462847, 5.570209246443847, 7.905517816333143, 284.3631323424546, 0.072466056589217, 16.669589933557745, 7.6572579126472835, 4.205705322273743, 5.272314516430364, 76.16658895150499, 2.943831975431645, 225.87148159140094, 5.7457078408020825, 13.099171171763428, 26.13282749161344, -1.2421123114486945, -5.1500688732446225
