# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
2100, 13.316398619, 260.39536875, -191.663971788, 94.1620803926, 138.953072056, 2.33693967378, 177.283897339, 1182.19637055, 44.4051812775, 167.721300502, 11.7300887552, 76.8176731322, 4944.02227642, 135.544339002, 12.0286702673, -0.179457899531, 3.638748971, 12.3610163817
2200, 13.3357365972, 255.007519012, -190.68605046, 94.0576182048, 134.62922181, 2.08014075269, 179.521413169, 1179.64628424, 44.4584565017, 167.882387231, 11.5998475854, 76.6575745079, 4942.9858028, 135.824187588, 12.0589061806, -0.161199691778, 3.64525682022, 12.2678828752
2300, 13.1369869375, 253.031271374, -190.325865575, 94.1485569047, 136.98178549, 2.02955019166, 186.186010425, 1188.99887026, 44.5192118366, 167.442244275, 11.2240714095, 76.6527562837, 4976.23890106, 135.804869185, 12.0399062566, -0.163165842012, 3.63863160359, 12.2981941034
2400, 13.1588651611, 254.479678302, -191.239053442, 94.1854734252, 135.384073579, 2.11778832291, 187.018688321, 1189.52467539, 44.2847612639, 168.063775964, 11.6501723375, 76.7061157448, 4974.87433831, 135.758453769, 12.0201722007, -0.214357430491, 3.57503922471, 12.3558030467
2500, 13.3041470633, 260.343741379, -191.378741255, 94.1188566287, 138.314758282, 1.89210255259, 176.032467444, 1187.70586764, 44.3032179496, 168.638219407, 12.4935620556, 76.6100956607, 4970.15084044, 135.522115383, 12.011524296, -0.236223603907, 3.5634702262, 12.3208995991
2600, 13.2949016612, 265.143836479, -193.755626256, 94.1509608123, 142.465910882, 2.44481498905, 187.620332483, 1183.07323425, 44.2870920535, 168.376940585, 11.8206202954, 76.3843863018, 4945.02625491, 135.397806781, 12.0048428298, -0.274571813548, 3.63436070547, 12.3207146227
2700, 13.4472510748, 269.611604131, -194.3447142, 94.1725645235, 140.087056415, 2.40726328135, 187.692635515, 1181.12389362, 44.2580764684, 168.464075414, 12.6161795149, 76.5898229259, 4932.70938286, 135.498462761, 12.0405731545, -0.322445989163, 3.63408235884, 12.3005564812
2800, 13.4724762921, 265.375825005, -193.53264646, 94.0357171429, 133.40041082, 2.37650815135, 191.406279609, 1177.52924045, 44.2450682946, 167.703867146, 13.0756834151, 76.771258358, 4922.97511981, 135.5328293, 12.0460400526, -0.371558775751, 3.54183529332, 12.3569584887
2900, 13.4352566339, 260.29155397, -192.578184324, 94.0812313739, 134.108294625, 2.6188583643, 189.246419256, 1175.92428821, 44.2953110054, 167.906645504, 12.4697752856, 76.915690776, 4934.5323641, 135.637312147, 12.0753744264, -0.284447802227, 3.56220742042, 12.3396430364
3000, 13.3923117512, 260.750096555, -192.438161295, 94.1611767712, 143.37125919, 2.64994660312, 185.595226972, 1180.05973894, 44.4041624836, 167.792903247, 12.0370386376, 76.8112509335, 4927.88508909, 135.617832306, 12.0217419763, -0.241783304357, 3.53809562904, 12.3203401622
3100, 13.3479153038, 259.995965008, -192.729615014, 94.3070272407, 140.113294684, 2.51319695349, 195.799264525, 1179.62830599, 44.3142032587, 167.422969632, 11.7132775884, 76.6338346266, 4939.08830263, 135.656381764, 12.1030276958, -0.20191285718, 3.57942005658, 12.3669573163
3200, 13.3189781365, 260.254811629, -191.641864343, 94.2983445625, 135.281103368, 2.41581136926, 186.380170418, 1184.89152568, 44.3980071475, 167.445995614, 11.8008943844, 76.5415949282, 4942.81454052, 135.808404527, 12.0598308372, -0.183190102698, 3.58697291603, 12.4010871334
3300, 13.4310941226, 258.273345496, -192.360785211, 94.2902735705, 131.581023927, 2.59951303614, 190.177610292, 1183.60754228, 44.4411902856, 167.50323203, 11.7127517591, 76.6108146753, 4914.15809444, 135.916056012, 12.0125189112, -0.207174935933, 3.65849925989, 12.4453076812
3400, 13.3576801859, 254.997647986, -191.205879981, 94.0098369219, 142.562347527, 2.34235737605, 188.705454036, 1184.84768359, 44.4308919654, 167.546416435, 11.228290297, 76.5216208678, 4933.95758022, 136.310005685, 12.0354154921, -0.146422274594, 3.69516768587, 12.4244938732
3500, 13.3404948584, 252.926614095, -190.834410837, 93.8379427922, 144.144334394, 2.34876286076, 190.186273498, 1180.81107508, 44.5423462089, 167.881970737, 11.3356205087, 76.4346052347, 4922.29335988, 136.003625379, 12.0365407573, -0.138813390058, 3.65201216541, 12.443544337
3600, 13.3394269616, 259.87907488, -191.172983251, 94.1151474488, 141.484558005, 2.58085777665, 192.99532244, 1187.25830493, 44.5914840355, 167.576056402, 11.2353267068, 76.477803848, 4932.86267679, 135.775060722, 11.9766178773, -0.124462296364, 3.61000708987, 12.3993211008
3700, 13.3122088101, 262.4156777, -192.189499562, 94.0247897304, 142.932697185, 2.47408631061, 187.392627303, 1181.07569131, 44.5878935357, 167.143151816, 11.6510934334, 76.8326601313, 4945.83265054, 135.694970892, 11.9448385955, -0.133894086357, 3.58995888121, 12.4144991034
3800, 13.3983566954, 261.078346352, -191.433411093, 94.05916987, 140.542357014, 2.31722843954, 183.726138431, 1179.46737664, 44.5375086637, 166.560907845, 11.9521756518, 76.7585112816, 4926.73914134, 135.987343268, 12.0407597347, -0.167824973782, 3.58456930755, 12.3739675814
3900, 13.4249592881, 262.79845828, -192.176069863, 94.0960184517, 139.496470617, 2.20038553111, 181.133904562, 1182.2185064, 44.3554979885, 167.159688457, 11.938056218, 76.6614741104, 4927.89768304, 136.162247901, 12.1142156195, -0.178552327851, 3.61540780231, 12.4013549961
4000, 13.4648139556, 265.968583877, -194.0791185, 94.2149251912, 138.430092694, 2.29018702851, 182.721513259, 1179.9966206, 44.2873001938, 167.670812996, 11.8214459408, 76.5731262173, 4912.43412477, 135.867714643, 12.1396497248, -0.177478003822, 3.61358334188, 12.3472223782
4100, 13.446220842, 265.832779459, -194.033782676, 94.0931108726, 140.264503521, 2.31288382475, 189.398134671, 1177.45253233, 44.4503394579, 167.556723605, 11.701602076, 76.82392368, 4919.14775729, 135.808439994, 12.1815499345, -0.194696306966, 3.58811061003, 12.3811179326
4200, 13.390623918, 266.207740964, -192.4885601, 94.1123986045, 138.580181816, 2.38957965152, 186.17039851, 1179.99454838, 44.4965617646, 167.454958263, 11.4826010502, 76.8601907289, 4911.82077246, 135.409042972, 12.1336101096, -0.157174028205, 3.64857513898, 12.3754720758
4300, 13.4633712152, 257.824285112, -192.194202832, 94.1343279013, 134.150216937, 2.24485928165, 188.361355295, 1171.72383172, 44.5669716706, 166.812936876, 11.3639848319, 76.8018692761, 4898.8777294, 135.798342201, 12.0621816621, -0.115352503182, 3.67164497427, 12.3672908979
4400, 13.700065761, 257.061380594, -193.336232383, 94.3073159633, 134.510501653, 2.21867360769, 184.676595717, 1161.7535805, 44.597762722, 167.323206314, 11.6776067963, 76.7021945991, 4850.93774148, 135.419605156, 12.1229093634, -0.177253159321, 3.63123657804, 12.3858931286
4500, 13.7146561504, 262.157913035, -192.919244569, 94.1951088449, 127.895954531, 2.4262237284, 207.583006509, 1165.06295125, 44.5094539217, 167.854407553, 11.9458429543, 76.7265275651, 4867.12787972, 135.574115263, 12.1782344231, -0.180348375529, 3.57465269059, 12.3515202135
4600, 13.6099432508, 259.535540369, -192.710384393, 94.2205292053, 132.200824289, 2.19764144138, 203.027090007, 1169.93724739, 44.4176008448, 168.229538099, 12.2664699038, 76.6195345629, 4877.85484612, 135.552501954, 12.150661606, -0.206239244328, 3.59759474078, 12.3045644821
4700, 13.565416893, 258.205123463, -191.681880396, 94.198770897, 141.190693595, 2.13426466399, 193.910105115, 1173.71299936, 44.3188797201, 167.625165009, 12.4454453341, 76.410656919, 4877.68034448, 135.565510998, 12.1480925761, -0.239645343871, 3.67611811119, 12.3833131515
4800, 13.452108013, 259.706155902, -191.52467239, 94.2407395207, 140.426664299, 2.19443456987, 198.498164989, 1177.56113584, 44.2563358287, 167.090794367, 12.8085357346, 76.5398857535, 4889.83639761, 135.691796641, 12.2205994853, -0.272043584388, 3.71441994235, 12.3702948348
4900, 13.3212672531, 260.175676462, -192.795133443, 94.2570594814, 142.052714665, 2.43596358723, 198.809366077, 1181.76950624, 44.2632736957, 168.291819889, 12.6391858443, 76.6139159513, 4919.79721109, 135.749187863, 12.1337297908, -0.299488293423, 3.62673060121, 12.2859426167
5000, 13.3725585317, 257.798566863, -193.046161217, 94.1409942611, 142.116558954, 2.2918276069, 200.108992294, 1180.42071819, 44.2311128686, 167.792543852, 12.3999687731, 76.7417567824, 4902.47592083, 135.603869671, 12.1358266115, -0.243789540829, 3.5904013574, 12.3354273475
5100, 13.3210349236, 259.165065185, -191.958364233, 94.0716613752, 142.12297619, 2.35020792964, 189.340500073, 1178.52016483, 44.3890052723, 167.50383352, 11.8999089676, 76.665498514, 4905.20168819, 135.804970438, 12.093411788, -0.192162820113, 3.66904951536, 12.471980369
