# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
1000, 27.4003632749, 3855.59228404, 5.76902869551, 931.180420173, 3307.82302312, 231.277915328, -209.947801835, 227.309726533, 0.450789775768, 95.9711957167, 58.2999811514, 40.9513393227, 110.954717779, 123.994876849, 14.4945074102, 13.5002887287, 10.4095312106, 135.56213889, 13.6877837551, 170.094698588, 9.67164421581, 74.7172227987, 15.2964437078, 140.244276598, 1.15074576897, 93.8038660157
1100, 27.4279083791, 3853.09937959, 5.76227507164, 929.711871848, 3311.34003479, 235.760897875, -208.156069871, 225.600070851, 0.412215968332, 96.1754330709, 58.5419796618, 41.115873314, 111.193879468, 125.942692361, 14.5455256232, 13.5481826606, 10.8136753103, 132.377013498, 13.6754909036, 168.377428134, 9.58370408492, 74.8201742876, 15.3784505669, 140.5289786, 1.16525468033, 94.8321597744
1200, 27.4298745078, 3843.75748369, 5.7715110268, 926.391411243, 3315.9721189, 243.151812308, -205.145243968, 225.133726682, 0.473641239267, 96.0588286769, 58.540536386, 41.125169988, 111.301649495, 126.938410346, 14.5681331982, 13.569022881, 11.2833636279, 129.955839152, 13.6937099414, 167.813230073, 9.56416059462, 74.9777080488, 15.4225570334, 140.941179248, 1.17059204526, 95.3758686608
1300, 27.3768779622, 3832.73350012, 5.76760417159, 927.007445887, 3326.34016167, 245.260735411, -204.531525982, 223.568634427, 0.497363167903, 96.0556199463, 58.5915268286, 41.195120858, 111.099266444, 128.335677525, 14.4528016096, 13.4505021898, 12.0749911652, 127.92576976, 13.7083102997, 168.379119985, 9.40748703754, 75.0296981621, 15.4924664322, 140.793722961, 1.20550242142, 95.6096247566
1400, 27.1077201556, 3822.50735148, 5.7274851778, 931.246794227, 3346.50020929, 252.215200365, -203.45579981, 223.050479148, 0.442824012263, 96.0213629268, 58.3420499359, 41.1441161237, 111.265927295, 130.746524125, 14.4294401662, 13.3543356343, 12.3061725255, 126.553890748, 13.6801133386, 169.007389918, 9.22459500465, 75.2493385703, 15.4949613267, 140.420427869, 1.23773882568, 95.4841178352
1500, 26.7621845136, 3810.71832378, 5.72097427634, 933.692492399, 3373.94960236, 260.920038874, -201.366745464, 222.393746479, 0.383866040935, 96.1768976509, 58.1017634594, 40.9878498276, 111.103589264, 131.768126693, 14.352622214, 13.3469911523, 12.5402772906, 126.434015163, 13.640423062, 167.99105293, 9.02821981243, 75.3194807639, 15.5861844192, 140.393314918, 1.27558610472, 95.3949359486
1600, 26.1141648769, 3796.52251045, 5.75982856431, 940.510692518, 3408.31125885, 266.054957494, -200.802056596, 221.147851378, 0.376927836894, 96.1915081686, 57.9716855847, 40.918609062, 109.700941991, 131.008818086, 14.3508511559, 13.2892542758, 12.2996009253, 126.666462626, 13.593673899, 169.025771348, 9.09516455966, 75.2873208557, 15.7201333078, 140.706492549, 1.25114568087, 95.0911434585
1700, 25.7582765316, 3781.42648968, 5.77371143661, 944.422596649, 3435.93152133, 267.926519614, -200.75255356, 222.012647356, 0.389715503084, 95.9447681601, 57.9330894741, 40.9344727632, 108.601075979, 130.468006079, 14.345041317, 13.2927614115, 12.0435084209, 125.476557785, 13.5887622339, 168.912112192, 9.00788248474, 75.3824330231, 15.7358903103, 140.848217131, 1.29268611375, 94.9987225628
1800, 25.2515413115, 3787.2813273, 5.72054348991, 950.902602941, 3479.75510667, 267.526992522, -199.523412119, 221.568757425, 0.380422115934, 95.8421682545, 57.6590996579, 40.8670364646, 109.958095999, 131.271916565, 14.2519349094, 13.2798300243, 11.6612520815, 127.503277791, 13.4756803751, 168.690369561, 8.89637445715, 75.6730606104, 15.7276511792, 140.951214594, 1.30617177804, 95.0157302377
1900, 24.8790918766, 3799.73166846, 5.73063469368, 957.15234507, 3499.1495182, 271.442285273, -198.87066634, 221.042101307, 0.333598573483, 96.2573015619, 57.5421780457, 40.8570375807, 109.381690593, 131.362143407, 14.1677315097, 13.2660974491, 11.2790012537, 123.258090283, 13.3950337484, 168.330160224, 8.82690726004, 76.0152612414, 15.7869214333, 141.160846483, 1.3247163692, 94.4744817514
