# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
 0, 0.9151036437203772, 8.316215975111884, 3662.5931223183316, 6.569708866379791, 281.54336279380476, 0.4403554845478609, 0.0010000000000281984, 2.892175972764232, 225.42360366267945, 7.4223749791976825, -11.625470972795565, -1.0447706877078673, 16.768540212585524
100, 0.9151540769808812, 8.316277409566384, 3662.593279789659, 6.5698014412302514, 281.543341781706, 0.44043849707525184, 0.0030688461050815802, 2.8922277917729966, 225.4235286163085, 7.422300707712775, -11.625430546365203, -1.0448796768946094, 16.76846186927458
200, 0.7906597700346671, 8.314168550668827, 3662.473020920801, 6.646276059636515, 281.395635545258, 0.4345312406669222, 0.03715332498943889, 2.8857643267564157, 225.48688242699802, 7.359320425321302, -11.648436998344549, -1.093315299639114, 16.715773207247693
300, 0.4446558267314973, 8.407416950709598, 3662.038517623393, 6.657747694769282, 281.0509686635995, 0.41753777501957967, 0.06039135947102082, 2.8361740896491385, 225.75663049922568, 7.334377065483512, -11.948179172509345, -1.0932091235941672, 16.674159939094974
400, 0.7893715562719752, 8.503478762713247, 3663.1995422319933, 6.716823595884005, 284.0083881425551, 0.3718081525859947, 0.06488735235528936, 2.827901855171066, 222.92485473217394, 7.27779365272627, -12.143190710236611, -1.1077855553127478, 16.546337720334506
500, 0.938721946206758, 8.498804072376753, 3665.6563825991398, 6.749077664229865, 290.2145772759748, 0.357680102636277, 0.06662714078752771, 2.8391655756573764, 218.3240740109178, 7.2445320545286025, -11.608349929870192, -1.1227073927350197, 16.342680342455083
600, 0.37543986909401994, 8.413683982436323, 3639.8209935278833, 6.749701202859308, 294.4674166790358, 0.36562586891805526, 0.08740668177039261, 2.829646482460703, 213.2334446547909, 7.242899422918854, -11.686143959444374, -1.1237683518821364, 16.244309788222825
700, 1.2983610233261293, 8.35704727490836, 3610.9460686178554, 6.749038217398165, 291.15413265981255, 0.358868510632517, 0.09253487543352291, 2.8492337334017823, 219.6822402791462, 7.246871090174778, -11.743461541126983, -1.1233178402317323, 16.319647401582113
800, 1.262997849728496, 8.37920252696512, 3542.178517392291, 6.778547707252313, 293.4138592203344, 0.34773020009881306, 0.08743539995357355, 2.845557506827801, 222.6415363122681, 7.220057847744208, -11.808703229543406, -1.1326480914358772, 16.350228251230824
900, 1.3692358655992276, 8.385307545421737, 3555.8557719048595, 6.767473722972671, 293.50285129527765, 0.3371467416354477, 0.08997555988853771, 2.8376301069182808, 227.559706794238, 7.236922457229458, -12.045886340324074, -1.1320575129041626, 16.375328410140934
1000, 1.3624865361080505, 8.329251778785128, 3501.990148441093, 6.707710631828247, 291.45013563715946, 0.3397180136398317, 0.0909418587002203, 2.88126697183802, 237.32502066979578, 7.292657042855437, -12.94801593929272, -1.1209940271797274, 16.456771829260443
1100, 0.9709658207009593, 8.329803077149023, 3507.2686414586783, 6.737328831562479, 290.7118705541021, 0.35176616862506976, 0.09262854865653322, 2.8881815795817096, 211.46815167372137, 7.260309902148954, -13.254774998183459, -1.1310605395182733, 16.379446031819604
1200, 1.8874407584417408, 8.36660520435868, 3481.883811167024, 6.760753516174816, 289.39683787773174, 0.3387723455596622, 0.09217542873518142, 2.898280330697132, 216.52534173472193, 7.238079102964316, -12.471488686856983, -1.1313946807735553, 16.444181317138902
1300, 1.5604121250233378, 8.356056002108105, 3500.866189321776, 6.747882661327706, 288.4978758996013, 0.3444454955789421, 0.09664463065055276, 2.8784431170873046, 219.86104310523902, 7.265748815716816, -11.603379828439689, -1.1203237493165883, 16.457330952625394
1400, 1.5182249577220495, 8.300017525129048, 3457.3247051036296, 6.774329207210679, 290.36037641125586, 0.33397206435275856, 0.09699433409363972, 2.881718870563124, 238.12606181435996, 7.231680119713765, -12.31176840411904, -1.1294032228003474, 16.491197786630263
1500, 1.5638220949072963, 8.36414287354631, 3468.3141012110746, 6.813188876460242, 289.2154530928142, 0.3473848816776289, 0.08859211890227232, 2.9018581891731303, 226.68064007192828, 7.196950631707752, -12.717654273814075, -1.1328262139171779, 16.516245613233043
1600, 1.6389062920900865, 8.420194912042158, 3441.9320924670374, 6.795283978240306, 288.9047091484326, 0.3327838342561604, 0.09064908324295465, 2.9178154759284975, 231.38658583922938, 7.198013324034437, -11.962448687149912, -1.1407031266696328, 16.520404860649897
1700, 1.0220143205833117, 8.319383575244276, 3476.3071473306327, 6.7831019001713395, 291.1319727223674, 0.35030771170210334, 0.08763248931124004, 2.914543597031, 232.0190544309428, 7.220128033087685, -12.03930554613262, -1.1315018524056448, 16.352465572723077
1800, 0.2255509323599192, 8.291021320835933, 3492.923543023998, 6.8135793583469075, 291.8155983659484, 0.36715595743513885, 0.07368477939685303, 2.9041927842734068, 202.47936491434268, 7.185704501681079, -13.62178816075121, -1.1392090441426372, 16.321857192151512
1900, 0.22594110820496888, 8.272658184741285, 3530.2819528910545, 6.774186888339933, 292.07949632622194, 0.36723092301489535, 0.07108968042260508, 2.898869203877511, 217.6886545123806, 7.22880766548651, -13.906550138029953, -1.1276569243129864, 16.42058811134659
2000, -0.17939545753797792, 8.264673812530223, 3532.464278267499, 6.756644619602266, 291.66030844838144, 0.34017597551729606, 0.0884489791593015, 2.9089596647200557, 225.69806493013567, 7.246321849982131, -13.11839594512727, -1.1305034087753367, 16.301166765635106
2100, 0.7092333667014361, 8.365666655861137, 3520.4366831997318, 6.752980517013323, 290.5175817025558, 0.3557790019616808, 0.07486347554018592, 2.884855478629534, 228.00378607939393, 7.246856360522873, -13.356731510911192, -1.1205151211940039, 16.279366420619766
2200, 1.1554947717058002, 8.34237567819902, 3488.429195602541, 6.805969399664658, 290.68896867878556, 0.3437018677720932, 0.0798292651908456, 2.874000950563085, 230.4127442929167, 7.198684539404873, -13.209354537120126, -1.1388845934344518, 16.330506973897755
2300, 1.5819931138288323, 8.43928517689201, 3520.49120670051, 6.756959470887282, 291.0862875491624, 0.33235498725677864, 0.07780416403583448, 2.8673378888229135, 223.91356216742219, 7.247482048803166, -12.860913190928558, -1.1305065827086709, 16.315712002918882
2400, 1.5628928253853693, 8.375622246049158, 3511.737195550772, 6.7507719766410546, 289.6895554057991, 0.35034390067024956, 0.08502418957996191, 2.893235689590496, 231.5430558068705, 7.259289861630202, -13.521644545398267, -1.1270611275349167, 16.43495313381291
2500, 0.34197603449412317, 8.444419299589605, 3509.0745806204764, 6.767112636505158, 289.5691005067014, 0.3502424827479302, 0.0846451896449573, 2.8851205524487553, 235.46815809595503, 7.2441861249535195, -14.211301443730989, -1.1256278705438483, 16.396838891496643
