# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, na_oiii5007_outflow_fwhm, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
 0, -15.313093722702117, 0.3788936081369, 5102.552937471026, 0.7085612891836206, 382.85136450915616, 0.01042321595724037, 0.0010000000003402634, 1240.3293902520809, 0.9016740171026225, -721.6296799265597, -132.4687260456265, 0.9850106030929724, 2.7933722630934996, -214.42252869829252, -2.2650856953138625, 4.154278265701217
100, -15.313038484508493, 0.3790313076934611, 5102.552888939568, 0.7085915799353323, 382.851334333171, 0.010658346977500715, 0.0019326928502184644, 1240.3293053154603, 0.9016495912677787, -721.6297741302063, -132.4687174482129, 0.9850456689474058, 2.7934336293825854, -214.4225590482856, -2.26494465100232, 4.154250711554885
200, -15.310970286552966, 0.3919505483783212, 5102.576927278261, 0.6917644659876584, 382.8852377457967, 0.04084150290754357, 0.026375345262336997, 1240.308408549933, 0.8947027762008788, -721.6371365844666, -132.50028230735683, 0.9894852967983642, 2.821894803920246, -214.45991412983744, -2.2705891923882864, 4.131556590282946
300, -15.297059221158289, 0.3984647118320037, 5102.591286106945, 0.6658969482386004, 382.9850181162173, 0.06314785512185343, 0.056989005432273636, 1240.2923539994044, 0.9058853862142303, -721.5985833117849, -132.49226535746047, 1.0183044039675926, 2.8031609462236466, -214.52251507309424, -2.2274269841740426, 4.176883403546441
400, -15.27798638752901, 0.42566580716921926, 5102.617392931319, 0.6632715837367784, 383.0243561715918, 0.06663965689850221, 0.07231071297439196, 1240.2487992509082, 0.9028840114464385, -721.7236062914293, -132.5114443396808, 1.0202582085713083, 2.8227150745430913, -214.53897727615765, -2.233371789710536, 4.1731715420285695
500, -15.561423246791238, 0.4230241231250995, 5102.420543669512, 0.7053125452638166, 383.0806934959485, 0.07237456977573363, 0.07101862659990732, 1239.8872824080806, 0.8991768547413946, -721.6662713614028, -132.53511969879193, 0.9713680818134935, 2.8135167597308417, -213.68810657672367, -2.319470821162398, 4.180038661987972
600, -15.53636816548401, 0.44178699600407223, 5102.604560001476, 0.680774510390434, 382.71961404750186, 0.06766788222468106, 0.08181932804803208, 1239.5549695419604, 0.8973978151469073, -721.05605973112, -131.85850558846107, 1.0032709215408502, 2.7818393675793582, -213.15986065466123, -2.268341580616735, 4.238653938167149
700, -17.900140257708014, 0.4683775735328967, 5104.202370000193, 0.6847691004296428, 384.5469566968297, 0.07348137598359024, 0.09617435086874462, 1242.9081366367186, 0.8975945690360245, -720.2407878475553, -132.30720883664355, 0.9953142292820439, 2.7608272461838093, -206.97411891540702, -2.214003741199056, 4.258304426439739
800, -20.191713965408198, 0.481997838553956, 5107.062272696668, 0.6851481024962631, 386.6290925544974, 0.06651053237514387, 0.09335109626056703, 1250.7886678509744, 0.9061809165594933, -723.1544146297083, -137.60808550881643, 0.9871943600638697, 2.7433177600991687, -206.32201368340202, -2.291161896804513, 4.26524590460314
900, -20.04357309784702, 0.4843448893063629, 5106.578080572367, 0.6810719340506487, 385.2463672838351, 0.0765406696967135, 0.09204396997327444, 1256.3985037212565, 0.917577079204734, -724.3311946463483, -143.1397229586221, 0.9949583978389567, 2.7146049205411815, -213.04398641573073, -2.2323991197577335, 4.252684335963168
1000, -19.74618926609604, 0.45406644127719253, 5116.99271981718, 0.6859593490439795, 387.83749967065944, 0.0696593604075315, 0.10871987992869989, 1267.5532859478847, 0.9150632249906605, -710.2340662423715, -140.2212460548956, 0.9850409262942059, 2.7027137469155442, -188.5930922436632, -2.285609715880333, 4.312501592496333
1100, -18.75880064767628, 0.437930965179357, 5113.196061880731, 0.6620583911974759, 393.3316619731423, 0.0727711098924946, 0.10090127874202469, 1262.1484833741404, 0.9128263404268909, -706.620354149913, -144.64558556809692, 1.0019718783351346, 2.6887744656559955, -183.36790483309804, -2.2858394405387306, 4.401816846692403
1200, -20.70620380914729, 0.44318792644227106, 5129.108663316632, 0.6807264700241432, 404.10106559970563, 0.07567905280426061, 0.10049430167527215, 1280.344065217875, 0.9117840850259324, -685.3566427011201, -147.81012756196608, 0.9833276539115703, 2.6189597728882665, -202.28583568740828, -2.332167176284491, 4.370548292263562
1300, -22.849458344592083, 0.4213107058679467, 5157.686603481553, 0.7018085538043489, 411.7722761236473, 0.07660169744041441, 0.09732979793527771, 1289.8366963085016, 0.8987814445809613, -676.9766933088003, -146.50654709371443, 0.9646090186301437, 2.5527425058705955, -207.96930983949244, -2.372872213946144, 4.385311690701325
1400, -21.337169407640722, 0.4481891516455857, 5098.570206288901, 0.678668852802201, 416.7396248874331, 0.07272105831253209, 0.09103934174490466, 1281.7823826222225, 0.8975394015725522, -648.3849210858568, -146.5907051923922, 0.9928650741530812, 2.548308306826561, -229.92737434103168, -2.330374205717743, 4.400154238505714
1500, -20.827144629143337, 0.4155602770013913, 5093.6055865037615, 0.674059284170577, 411.51919759914733, 0.07074300732214923, 0.0817437748991403, 1272.076367379807, 0.9030568205687071, -618.5210087911406, -151.3004087167892, 0.9988687185346743, 2.5850642134597264, -218.11439371565893, -2.3188065498171797, 4.435182439044412
1600, -23.900211255334714, 0.41087715531742475, 5160.466172775351, 0.6708933139933679, 407.21681344061307, 0.06643115689715293, 0.07801310127915631, 1254.875270491791, 0.9017876739061295, -629.8822437931751, -150.7897871743678, 1.00152803504526, 2.593297949188073, -234.28005955560218, -2.294455879301081, 4.417316584386233
1700, -24.965033686925466, 0.3636455340275591, 5109.814372793237, 0.6838263045840074, 410.37704892483583, 0.07860404199776007, 0.08256633282738832, 1253.727935680852, 0.918321671995164, -617.195267439221, -144.7651215510757, 0.9922866943084454, 2.6295616474687877, -213.66766070283185, -2.3068994573545805, 4.39585977996926
1800, -23.76361794080744, 0.35424260513680805, 5079.258048608102, 0.67648039737109, 414.2891845302429, 0.08184253337796323, 0.08561100855607941, 1272.0644095490898, 0.921671305349499, -628.4568100520353, -143.30314547677946, 0.9992618634644558, 2.535521381032366, -245.86400952330143, -2.2693770282160806, 4.419594526290709
1900, -22.620790234093086, 0.3526156696587715, 5078.410869196022, 0.6475720796443093, 409.64543429905, 0.07573132032513423, 0.08447722103795939, 1278.1359206727818, 0.9090948748856589, -619.8603629615181, -141.5785938161098, 1.0322706157497001, 2.5521127371118517, -245.18951433021098, -2.2023419676928655, 4.440067466626136
2000, -20.64388977505908, 0.35240156126948585, 5051.609548771401, 0.6557444859112455, 404.64741857660255, 0.07006987772798201, 0.07704397830674004, 1264.8890560917662, 0.8973904389612786, -629.5740793934413, -147.581744621829, 1.0204959711465085, 2.5787331574834482, -242.99313764620604, -2.2353919876588413, 4.372838177406347
2100, -18.602679340525093, 0.33732491842202084, 5090.917040323984, 0.6417307328458213, 394.80837301668834, 0.07721960899158428, 0.08418027639321107, 1249.1255073735852, 0.8982945443474122, -635.9759356533467, -146.06506802497722, 1.0415165514400275, 2.6275061737883343, -231.50986793816617, -2.1527912201097537, 4.32604705646249
2200, -16.70773501293629, 0.3670061229600581, 5079.550613311468, 0.6520526676527213, 398.9669129230392, 0.079542578166138, 0.0826668147163824, 1256.8189746591684, 0.901996227924467, -620.2961425903876, -150.09340079935097, 1.0192303206555944, 2.6456877168349333, -236.7563238068416, -2.221437375417673, 4.303186836604308
2300, -16.54238483580388, 0.32839055072248613, 5026.02232359166, 0.6304824244782087, 399.49631504345956, 0.06627605509024671, 0.06960018175212662, 1269.4335313405236, 0.921338596339179, -614.6273639058537, -151.82831853537638, 1.0487430758903458, 2.6335423458489386, -235.91971539971772, -2.194827126088554, 4.313556607225518
2400, -16.285089013559684, 0.37321910752710585, 5136.645855805484, 0.6338638793490969, 405.88124439167734, 0.07116420672220841, 0.06802452541730475, 1278.8092791407303, 0.9188834465575234, -607.7476899200808, -153.20315742618143, 1.0316308745752414, 2.619342593925799, -253.63266558844668, -2.2380781173448794, 4.393889204221183
2500, -16.383761566238533, 0.3830431181456395, 5150.661411813958, 0.6304895572546046, 403.4773094171822, 0.07680966457573296, 0.06797085420807623, 1275.9418244767494, 0.9156662976524146, -595.9016185785893, -147.41541208899346, 1.0476810221864405, 2.6295572198203576, -263.735225393955, -2.165789916530269, 4.4027144562829434
2600, -18.1219812338528, 0.35348376679055127, 4995.2593033465655, 0.6295413457551149, 401.3006621209322, 0.07152256304739042, 0.07047645204110786, 1271.39350067818, 0.9175063853935556, -604.0530969153776, -145.26375669025865, 1.0476614494050658, 2.646291512926449, -255.15070420854366, -2.1647307878887427, 4.370309899755572
2700, -18.85137845507821, 0.34655716940620546, 5070.840303455097, 0.6363274277450599, 390.13401884945534, 0.07399654100558792, 0.07794295183651824, 1245.4562027358825, 0.9233167795981856, -592.8825599194905, -149.7556042777409, 1.0376779061522703, 2.7213330875794455, -245.3168160860493, -2.1992253907065393, 4.313971848960157
2800, -21.24401947572482, 0.3590856692977577, 5155.212994303736, 0.6395539707506984, 394.6301927056694, 0.06786249944497363, 0.0758507216513832, 1257.0822390620972, 0.9143264585812336, -585.5515098224002, -148.1244549512775, 1.0258816867934486, 2.6620225016410775, -221.35013835700894, -2.2371051550835124, 4.387065246402137
2900, -22.221536965387315, 0.40390257305294935, 5002.9824558541095, 0.6537403877329855, 399.87156443537253, 0.0613134415661612, 0.07967745540426743, 1261.2373966225928, 0.9101686312278852, -587.496749543295, -147.8562979899629, 1.0318487117290713, 2.6506945076407837, -226.23164677753982, -2.1915681779876435, 4.343151941158711
3000, -21.223288200632954, 0.36286981433097415, 5052.520329403511, 0.6649699133046182, 399.84635852001725, 0.057433615729243284, 0.0896083609521587, 1274.0454291480185, 0.9165945259112924, -581.5905171145553, -143.08876874828545, 1.0156393155842678, 2.6076705939645155, -213.50898220206193, -2.2198813756168363, 4.287178777964826
3100, -18.96089854379548, 0.3589434215025798, 5100.110033417521, 0.6448491918989229, 395.3646371527207, 0.06366074347112385, 0.0807189098775578, 1255.785159388016, 0.9055611576123943, -587.2368795510233, -145.05583235441148, 1.0274449990420473, 2.6626111498555063, -232.2970006442266, -2.20744445759033, 4.309269626810569
3200, -19.971590919379906, 0.3566255296712221, 5116.957282571441, 0.6685924351187283, 410.8737359349657, 0.06105287399824752, 0.08708266724370767, 1301.9041840915847, 0.9112914542394601, -559.7738367366483, -150.47104982610097, 1.00568987789276, 2.547069707421789, -253.72615638535305, -2.251033774965012, 4.434090696968579
3300, -20.297636155819628, 0.3619352202947801, 5074.292368907315, 0.6581537873307217, 414.222736060111, 0.07290506825194228, 0.08712645842568216, 1297.4508171685973, 0.9067063908342238, -572.1005225832922, -148.52930067000244, 1.015502318801305, 2.524846515381967, -246.17150797796876, -2.2360608441281853, 4.460829332696931
3400, -21.263204886324452, 0.3509746263313138, 5091.657210159677, 0.6484679967346747, 411.3236784372779, 0.07507353410052447, 0.0942456912589052, 1295.8244500939286, 0.912342765723624, -552.9391996470885, -153.02342129298216, 1.0238573649571745, 2.586879861109101, -261.49033310020025, -2.2118225736731874, 4.466020625279236
3500, -20.62767110818499, 0.3848866304516448, 5174.396235452209, 0.6624835442638706, 405.75733417136587, 0.07590615713080456, 0.08767129687188203, 1263.9690576787136, 0.9036570990432804, -564.6365865732469, -153.0959416538564, 1.0136304460965906, 2.652202835871072, -248.74198244123255, -2.2129891194242095, 4.451299511261302
3600, -18.208688605951295, 0.39975336046912163, 5191.274769447805, 0.6735979915532008, 398.4794524416528, 0.0752548747220119, 0.09220376330636101, 1263.5275419638513, 0.9025361474114684, -584.1064059904558, -147.42381890516378, 1.0017150735192077, 2.6766620654962563, -240.94433554651334, -2.287183649355081, 4.437420628128031
3700, -18.251669706054816, 0.39706202071431945, 5055.412731864777, 0.680204219566451, 412.1956594187917, 0.06767427433442896, 0.09059086656132799, 1263.6672206587132, 0.9083193382873949, -588.6392231599881, -148.63600318245028, 0.9993559268585224, 2.573832643563219, -239.9487799124093, -2.292724463269397, 4.480038856634115
3800, -18.998920134590996, 0.40798445376394643, 5123.676660779681, 0.6745929672063179, 409.6009171765896, 0.06489739342611553, 0.0957499468480842, 1263.5008555041477, 0.8923073101782166, -538.7942525427152, -152.4397001535666, 1.0036618975392422, 2.575283366791903, -222.86637117100463, -2.2967536954995973, 4.469042422032009
3900, -19.18353282836108, 0.3931806517172715, 5140.701921414891, 0.6722542701875974, 409.78825898005255, 0.059753828888785616, 0.08669867743907188, 1268.1262861290234, 0.8883731040831273, -561.4709225760391, -153.6273631110807, 0.9988093680101628, 2.550655531230203, -218.28113865782473, -2.312110543146158, 4.47254251882957
4000, -21.816263674044208, 0.37240468696920004, 5084.990134807304, 0.6612417999617302, 410.65260670095614, 0.06865606861864981, 0.08723871352863725, 1265.3787344429636, 0.9073226921414712, -574.4508182872796, -152.91778519110696, 1.0079911369570582, 2.5947028077903265, -239.06947389544194, -2.2527812523568183, 4.389614852402791
4100, -22.274098904764163, 0.3663415544629275, 5127.035047544221, 0.6531555633232625, 409.4691674411101, 0.06675670965529104, 0.08606870246993248, 1270.050123459083, 0.9156086842201113, -567.6765022799632, -151.94071066281023, 1.0269311157747747, 2.6318150074782753, -229.14833914701086, -2.242082818526965, 4.323165363785573
4200, -22.36159248195864, 0.37826989028029345, 5168.027089159583, 0.6581949458009968, 399.98144037219606, 0.06411940645806258, 0.0803893242349998, 1286.740290425436, 0.9108149239752836, -543.7086119337143, -144.98062954962103, 1.021594624599935, 2.5869080059555163, -226.3208461537104, -2.215232122872538, 4.386109801644309
4300, -22.6310207651375, 0.3355569504066794, 5120.942222036916, 0.656573717217356, 402.48159497967725, 0.059994949709812846, 0.08273718931336976, 1281.0077757165864, 0.9279292871233362, -554.4947222765111, -150.0140424922619, 1.0118621717086829, 2.609694226563902, -197.91694228724225, -2.246527199632792, 4.371881913507527
4400, -21.982430346466558, 0.34320408614226217, 5222.366126642781, 0.6269850235393645, 402.101895048306, 0.06103807887886813, 0.08184207553673385, 1264.9098877205283, 0.9151183987728978, -592.0490554565071, -148.27503885632447, 1.039468696437224, 2.607186956634918, -209.41526610474384, -2.204712644490316, 4.392894873856534
4500, -17.75391077076781, 0.33295725787104435, 5326.58424535926, 0.608975396884673, 399.4297467089822, 0.06886699495929088, 0.06834938797682297, 1266.2062086925846, 0.897703380113739, -620.914999573951, -149.89116715348916, 1.066267267181838, 2.602726010671766, -230.23122259771392, -2.177197450848778, 4.2967183083357705
4600, -17.12406071367709, 0.3357358120263243, 5224.162669397216, 0.6221238505479192, 394.08805238973184, 0.06499124416388934, 0.07240643492276277, 1262.3157049334413, 0.8961033609964734, -601.920118572171, -145.98378831371244, 1.0611424108140302, 2.673697182978276, -239.3679053235615, -2.1451564999893007, 4.272708900994629
4700, -18.236841482834542, 0.3923448337789042, 5290.336534149607, 0.6354266205868532, 390.5138707630436, 0.06873148532374619, 0.07911492334372032, 1251.104991802491, 0.8886100844902819, -603.3812831487289, -146.89090467533626, 1.0485108796974798, 2.781788404843824, -237.633911041619, -2.175401325611954, 4.272536300069983
4800, -19.47064910455247, 0.38386642418579464, 5268.716068443361, 0.6371126679560132, 384.1920856113003, 0.06719335512686245, 0.07239417844895434, 1248.872779046565, 0.8894173048977303, -611.9506263804689, -149.25618398025517, 1.0396206642143677, 2.7475910727702955, -248.77649657646782, -2.186695138119643, 4.3147531122965335
4900, -18.975095017698273, 0.36842371225507964, 5220.356372710519, 0.6392319605048427, 393.10461626081025, 0.07097777093694216, 0.08388395852086719, 1267.4351047549394, 0.9040888228519393, -608.4257450341546, -153.3248296477773, 1.0385375805059636, 2.6902488393380835, -261.2290606183068, -2.2164308657265734, 4.413400570220263
5000, -20.211047793361715, 0.35960307399621566, 5129.705154376732, 0.6401174770076004, 407.1745009671965, 0.08333790437489627, 0.08493737839821258, 1283.9402536668406, 0.9037913720217909, -600.0283848659001, -154.9882413390119, 1.03286870964555, 2.5677351400217616, -275.4263591884595, -2.2068457770584287, 4.459229666113959
5100, -18.300752797201604, 0.3564543380975254, 5139.0500034607685, 0.6588271418387757, 405.24218168957196, 0.07605903051548688, 0.07550541889498592, 1280.6534131739752, 0.9019124747935126, -609.27725387011, -153.41401061233802, 1.0145485890147217, 2.5823524970748757, -283.16702333053996, -2.228656507258866, 4.432215095786804
5200, -20.76491682180667, 0.3764479517854165, 5172.786922977117, 0.6624631205446518, 399.9964314727394, 0.07718639096476854, 0.07486630551986762, 1274.8670257532215, 0.887582314697628, -623.541840135296, -155.4505211432591, 1.008954158943346, 2.6325319413261967, -274.8560012971311, -2.296565847472658, 4.376800684183393
5300, -19.66017458598164, 0.378360555721531, 5207.3201683166235, 0.6635759055210071, 401.194693734196, 0.07113503475573049, 0.0834384881713344, 1287.056092925493, 0.90582203085001, -602.6971604185384, -149.4519714092341, 1.0063914501785336, 2.586699152321369, -255.147824635807, -2.3099301236724283, 4.446685285052312
5400, -19.908879899665983, 0.37386567030257745, 5141.624924159234, 0.681281090407484, 405.28205496687247, 0.07651669558379627, 0.07705366560991779, 1275.528920089695, 0.8983297357017391, -610.7962723275109, -147.65862819202522, 0.988659233125694, 2.569253391494745, -233.23226522317665, -2.3065547996401405, 4.422534331030249
5500, -20.277426242964054, 0.36749999201808603, 5242.308417554811, 0.6960881898798991, 402.9131432945436, 0.0791161010428609, 0.07461783683376166, 1285.3410116460807, 0.8993872379395669, -591.2178649343376, -145.93543064053466, 0.9758753288926612, 2.5409721482851517, -240.62939641253516, -2.325949111990004, 4.377845961160138
5600, -21.66467759646297, 0.39154566923754464, 5177.295825303243, 0.6769111435752049, 396.1021346376293, 0.07304634138372884, 0.08209777547819806, 1275.967341377805, 0.901126518460132, -608.2675236599605, -147.923293373159, 0.9933174535847777, 2.6003940690051506, -227.84745444316601, -2.3081983688241943, 4.380579438071408
5700, -21.473129024188204, 0.37187027121162664, 5171.095951271798, 0.6996603700549686, 403.2300261435079, 0.06928672587143761, 0.09857226901924081, 1275.400752010047, 0.8823065821008684, -607.7965937034768, -148.8489091866165, 0.9762363672375574, 2.587129891900633, -239.76431879173987, -2.314739199937151, 4.377807678827107
